fighter_name,classification
Clint Godfrey,grappler
Mark Godbeer,striker
Jason Godsey,striker
Jonny Goh,striker
Hannah Goldy,striker
Allan Goes,submission specialist
Marcelo Golm,striker
Alan Gomez,striker
Sergio Gomez,grappler
Frank Gomez,striker
David Gomez,striker
Ulysses Gomez,striker
Edson Gomez,striker
Joey Gomez,striker
Luis Gomez,grappler
Silvana Gomez Juarez,striker
Akihiro Gono,striker
Takanori Gomi,striker
Gabriel Gonzaga,submission specialist
Nick Gonzalez,striker
Justin Gonzales,grappler
Fabian Gonzalez,striker
Fernando Gonzalez,submission specialist
Lewis Gonzalez,grappler
Jorge Gonzalez,striker
Jason Gonzalez,submission specialist
Kier Gooch,striker
Pearl Gonzalez,striker
Mikey Gonzalez,striker
Jared Gooden,striker
Lyman Good,striker
Jordan Goodwin,striker
Gary Goodridge,striker
Tebaris Gordon,striker
Gerard Gordeau,striker
Eddie Gordon,striker
Alex Gorgees,striker
Malcolm Gordon,striker
Jared Gordon,striker
Tim Gorman,striker
Thibault Gouti,striker
Jonathan Goulet,grappler
Chase Gormley,submission specialist
Todd Gouwenberg,grappler
Wilson Gouveia,submission specialist
Justin Governale,striker
Crosley Gracie,grappler
Daniel Gracie,submission specialist
Hugo Govea,striker
Renzo Gracie,striker
Damian Grabowski,striker
Ralph Gracie,submission specialist
Royce Gracie,striker
Rickson Gracie,striker
Ralek Gracie,submission specialist
Ryan Gracie,grappler
Royler Gracie,striker
Rodrigo Gracie,grappler
Cesar Gracie,striker
Rolles Gracie,striker
Roger Gracie,submission specialist
Igor Gracie,submission specialist
Kron Gracie,striker
Steven Graham,striker
Miranda Granger,striker
Scott Graham,striker
Neiman Gracie,submission specialist
Davey Grant,striker
TJ Grant,striker
Tony Gravely,grappler
Alexa Grasso,striker
Shelton Graves,grappler
Michael Graves,grappler
Kevin Gray,striker
Dwight Grant,striker
James Gray,striker
Sam Greco,submission specialist
Max Griffin,striker
Tyson Griffin,striker
Gabe Green,striker
Bobby Green,striker
Matt Grice,striker
Maurice Greene,striker
Desmond Green,striker
Forrest Griffin,striker
Rodrigo Gripp de Sousa,submission specialist
Chuck Grigsby,striker
Jordan Griffin,submission specialist
Chad Griggs,striker
Maxim Grishin,striker
Josh Grispi,submission specialist
Garrett Gross,striker
Kendall Grove,submission specialist
Neil Grove,submission specialist
Wang Guan,striker
Chris Gruetzemacher,striker
Vik Grujic,striker
Mike Grundy,grappler
Nandor Guelmino,striker
Fabricio Guerreiro,grappler
Brad Gumm,striker
Leonardo Guimaraes,submission specialist
Jason Guida,submission specialist
Shannon Gugerty,submission specialist
Clay Guida,grappler
Melvin Guillard,striker
Marcelo Guimaraes,striker
Chris Guillen,striker
Fabio Gurgel,striker
John Gunther,grappler
Jorge Gurgel,striker
John Gunderson,submission specialist
Andre Gusmao,striker
Alexander Gustafsson,striker
Justin Guthrie,submission specialist
Horacio Gutierrez,striker
Chris Gutierrez,striker
Tim Hague,striker
Steve Hadsel,striker
Keith Hackney,striker
Chelsea Hackett,striker
Mike Guymon,submission specialist
Damir Hadzovic,striker
Yazan Hajeh,striker
Kevin Haley,submission specialist
Stoney Hale,striker
Ryan Hall,striker
Tony Halme,striker
Mark Hall,striker
Dennis Hallman,submission specialist
Uriah Hall,striker
Piotr Hallmann,striker
Frank Hamaker,striker
Kazuhiro Hamanaka,striker
Brandon Halsey,submission specialist
Seo Hee Ham,striker
John Halverson,submission specialist
Jeremy Hamilton,striker
Anthony Hamilton,striker
Matt Hamill,striker
CJ Hamilton,striker
James Hammortree,submission specialist
Jared Hamman,striker
Joachim Hansen,submission specialist
Nasrat Haqparast,striker
Dean Hancock,submission specialist
Kay Hansen,submission specialist
Janay Harding,striker
Scott Harper,grappler
Baru Harn,striker
Antoni Hardonk,striker
Dan Hardy,striker
Greg Hardy,striker
Gerry Harris,striker
Phil Harris,striker
Dhafir Harris,striker
Collin Hart,striker
Carlston Harris,striker
Dale Hartt,submission specialist
Trevor Harris,submission specialist
Walt Harris,striker
Gerald Harris,grappler
Luke Hartwig,striker
Hidehiko Hasegawa,striker
Justin Haskins,grappler
Clay Harvison,submission specialist
Daiki Hata,striker
Chris Haseman,submission specialist
Tomohiko Hashimoto,striker
Takayo Hashi,striker
Hayder Hassan,striker
Del Hawkins,striker
John Hathaway,striker
Justin Hawes,striker
Chris Hawk,striker
Ryan Hayes,striker
Phil Hawes,grappler
Mike Hayes,submission specialist
Tommy Hayden,grappler
Gerric Hayes,striker
Josh Haynes,striker
Dustin Hazelett,submission specialist
James Head,striker
Pat Healy,submission specialist
Ryan Healy,submission specialist
Spencer Hearns,striker
David Heath,submission specialist
Marcin Held,submission specialist
Delson Heleno,striker
Chris Heatherly,grappler
Nick Hein,striker
Ian Heinisch,striker
Jake Hecht,striker
Elisha Helsper,striker
Josh Hendricks,striker
Ron Henderson,striker
Benson Henderson,striker
Johny Hendricks,grappler
Dan Henderson,striker
Matt Helm,striker
Diego Henrique da Silva,striker
Luis Henrique,submission specialist
Danny Henry,submission specialist
TJ Hepburn,grappler
Jai Herbert,striker
Ed Herman,submission specialist
Dave Herman,striker
Noe Hernandez,striker
Jack Hermansson,striker
Cory Hendricks,striker
Joe Hernandez,striker
Alexander Hernandez,striker
Anthony Hernandez,submission specialist
Nohelin Hernandez,striker
Paul Herrera,striker
Chris Herrera,striker
Alvaro Herrera Mendoza,submission specialist
Geane Herrera,striker
Ramiro Hernandez,striker
Felice Herrig,striker
Jon Hess,striker
Heath Herring,striker
Clint Hester,striker
Brandon Hester,grappler
Conor Heun,striker
Marcus Hicks,submission specialist
Jimy Hettes,submission specialist
Lee Higgins,striker
Jay Hieron,submission specialist
Jason High,submission specialist
Richie Hightower,striker
Isaiah Hill,submission specialist
Alex Higley,striker
Jamahal Hill,striker
Kailan Hill,grappler
Angela Hill,striker
Branden Lee Hinkle,submission specialist
Hatsu Hioki,grappler
Tyler Hill,striker
Kuniyoshi Hironaka,striker
Mizuto Hirota,striker
Alan Hiro,striker
Corey Hill,striker
Matt Hobar,grappler
Kwan Ho Kwak,striker
Yuji Hisamatsu,striker
Sam Hoger,submission specialist
Bobby Hoffman,submission specialist
Kevin Holland,striker
Andrew Holbrook,submission specialist
Sean Holden,submission specialist
Chris Holdsworth,submission specialist
Roger Hollett,striker
Jeremie Holloway,striker
Gabrielle Holloway,submission specialist
Max Holloway,striker
Holly Holm,striker
Rex Holman,striker
Kurt Holobaugh,striker
Paddy Holohan,submission specialist
Ben Holscher,striker
Mark Holst,submission specialist
Scott Holtzman,striker
Sabah Homasi,striker
Barb Honchak,submission specialist
Mark Hominick,striker
Chris Honeycutt,grappler
Satoshi Honma,striker
David Hood,striker
Lorenzo Hood,striker
Chase Hooper,submission specialist
Dan Hooker,striker
Moti Horenstein,striker
Yoshinori Horie,striker
Kyoji Horiguchi,striker
Matt Horning,striker
Chris Horodecki,striker
Jeremy Horn,submission specialist
Jamey-Lyn Horth,striker
Matt Horwich,submission specialist
John Hosman,striker
Saeed Hosseini,striker
Jeff Hougland,submission specialist
Trey Houston,striker
Jamie Houston,striker
Darrell Horcher,striker
Brian Houston,striker
John Howard,grappler
Carlos Huachin,striker
Harold Howard,striker
Shane Howell,striker
Brady Huang,striker
Alex Huddleston,striker
Collin Huckbody,submission specialist
Austin Hubbard,striker
Jeff Hughes,striker
Mark Hughes,submission specialist
Matt Hughes,submission specialist
Roger Huerta,striker
Casey Huffman,striker
Sam Hughes,striker
Bryan Humes,striker
Abongo Humphrey,submission specialist
Harry Hunsucker,striker
Adam Hunter,striker
Mark Hunt,striker
Alex Hunter,striker
Joe Hurley,striker
Khadis Ibragimov,striker
Al Iaquinta,striker
David Hulett,striker
Valeri Ignatov,striker
Minoki Ichihara,striker
Sergey Ignatov,striker
Dan Ige,striker
Fabiano Iha,submission specialist
Seichi Ikemoto,striker
Mikhail Iloukhine,submission specialist
Zelim Imadaev,striker
Yusuke Imamura,grappler
Masakazu Imanari,submission specialist
Nassourdine Imavov,submission specialist
Solomon Hutcherson,grappler
Brad Imes,submission specialist
Chris Inman,striker
Chris Indich,submission specialist
Guto Inocente,striker
Enson Inoue,striker
Egan Inoue,striker
Katsuya Inoue,striker
Takeshi Inoue,striker
Naoki Inoue,submission specialist
Inoue Mizuki,striker
Jorge Interiano,striker
Jason Ireland,submission specialist
Eric Irvin,grappler
James Irvin,striker
Mitsuhiro Ishida,grappler
Teruto Ishihara,striker
Yuki Ishikawa,striker
Eiji Ishikawa,striker
Satoshi Ishii,submission specialist
Damir Ismagulov,striker
Tokimitsu Ishizawa,grappler
Wallid Ismail,grappler
Leandro Issa,submission specialist
Tatsuya Iwasaki,striker
Tomomi Iwama,striker
Anthony Ivy,grappler
Blagoy Ivanov,striker
Yoislandy Izquierdo,striker
Hiroshi Izumi,grappler
Yves Jabouin,striker
Kevin Jackson,striker
Eugene Jackson,submission specialist
Jeremy Jackson,grappler
Kenyon Jackson,striker
Quinton Jackson,striker
Mike Jackson,striker
Jason Jackson,striker
Damon Jackson,submission specialist
Eric Jacob,striker
Montel Jackson,grappler
Dustin Jacoby,striker
Justin James,submission specialist
Nate James,striker
Ryan Janes,striker
Virna Jandiroba,submission specialist
Josh Janousek,striker
Jaime Jara,striker
Dave Jansen,striker
Gigo Jara,striker
Keith Jardine,striker
Josh Jarvis,striker
Brock Jardine,striker
Justin Jaynes,striker
Louis Jauregui,striker
Rony Jason,striker
Joanna Jedrzejczyk,striker
Aaron Jeffery,striker
Trent Jenkins,striker
Bubba Jenkins,grappler
Adrienna Jenkins,striker
Steve Jennum,striker
Ryan Jensen,submission specialist
Kyle Jensen,submission specialist
Maciej Jewtuszko,striker
Chan-Mi Jeon,striker
Ronald Jhun,grappler
Gilbert Jimenez,striker
Art Jimmerson,striker
Carls John De Tomas,striker
Sung Bin Jo,submission specialist
Phil Johns,striker
Brett Johns,submission specialist
Miles Johns,striker
Travis Johnson,striker
Devin Johnson,striker
Tony Johnson,striker
DaMarques Johnson,striker
Ricky Johnson,striker
Lavar Johnson,striker
Ryan Jimmo,striker
Kajan Johnson,striker
Deshaun Johnson,striker
Demetrious Johnson,striker
Michael Johnson,striker
Dashon Johnson,striker
Timothy Johnson,striker
Jordan Johnson,submission specialist
Taylor Johnson,grappler
Anthony Johnson,striker
Jose Johnson,striker
Chad Johnson,striker
Brian Johnston,striker
Daniel Jolly,grappler
Liana Jojua,submission specialist
Paul Jones,striker
Nathan Jones,striker
Marcus Jones,submission specialist
Tito Jones,striker
Carlton Jones,submission specialist
Jesse Jones,striker
Jon Jones,striker
Roy Jones,striker
Justin Jones,striker
Ben Jones,striker
Victor Jones,striker
Chris Jones,striker
Roshaun Jones,striker
Antonio Jones,striker
Jamelle Jones,striker
Trevin Jones,striker
Mason Jones,striker
Jocelyn Jones-Lybarger,striker
Joe Jordan,striker
Kevin Jordan,striker
Shawn Jordan,striker
Ivan Jorge,striker
Gareth Joseph,striker
Scott Jorgensen,striker
Dwight Joseph,submission specialist
Jeff Joslin,striker
Krzysztof Jotko,striker
Alan Jouban,striker
Charles Jourdain,striker
Mike Joy,submission specialist
Dustin Joynson,striker
Tony Juarez,grappler
Jesse Juarez,grappler
Steve Judson,striker
Bu-Kyung Jung,submission specialist
Luke Jumeau,striker
Young Sam Jung,submission specialist
Chan Sung Jung,striker
Da-Un Jung,striker
Scott Junk,striker
Myles Jury,striker
Cristiane Justino,striker
Oron Kahlon,striker
Patrick Kaase,striker
Emily Kagan,striker
Sirwan Kakai,grappler
Bryson Kamaka,striker
Geza Kalman,striker
Kai Kamaka,striker
Martin Kampmann,submission specialist
Masanori Kanehara,striker
Hiromitsu Kanehara,striker
Ken Kaneko,submission specialist
Kyung Ho Kang,submission specialist
Bharat Kandare,striker
Denis Kang,submission specialist
Manel Kape,striker
David Kaplan,grappler
Yusuke Kasuya,striker
Georgi Karakhanyan,submission specialist
Tetsuji Kato,grappler
Impa Kasanganay,striker
Kai Kara-France,striker
Alex Karalexis,grappler
Nadia Kassem,submission specialist
Brad Katona,striker
Hisaki Kato,striker
Calvin Kattar,striker
Canaan Kawaihae,striker
Sarah Kaufman,striker
Ryo Kawamura,striker
Yusuke Kawaguchi,striker
Tatsuya Kawajiri,submission specialist
Doug Kay,striker
Ryan Keenan,striker
Julie Kedzie,striker
CJ Keith,striker
Brian Kelleher,striker
Mayana Kellem,striker
Chris Kelades,striker
John Kelly,striker
Waylon Kennell,striker
Jeremy Kennedy,grappler
Tony Kelley,submission specialist
Daniel Kelly,striker
Paul Kelly,submission specialist
Steve Kennedy,grappler
Tim Kennedy,striker
Aurelijus Kerpe,striker
Ron Keslar,submission specialist
Casey Kenney,striker
Will Kerr,submission specialist
Sergey Khandozhko,striker
Rustam Khabilov,grappler
Adam Khaliev,striker
Mark Kerr,grappler
Sergei Kharitonov,submission specialist
Alfred Khashakyan,striker
Akira Kikuchi,striker
Sanae Kikuta,submission specialist
Aliaskhab Khizriev,submission specialist
Katsunori Kikuno,striker
Jacob Kilburn,striker
Pannie Kianzad,striker
Jin Oh Kim,striker
Dae Won Kim,grappler
Jong Man Kim,striker
Jong Won Kim,grappler
Jong Wang Kim,striker
Dong Hyun Kim,grappler
Min Soo Kim,striker
Ji Yeon Kim,striker
Jeremy Kimball,striker
Dustin Kimura,submission specialist
Mike King,submission specialist
Taiei Kin,striker
Rob Kimmons,submission specialist
Kamuela Kirk,striker
Kyle Kingsbury,striker
Yurij Kiseliov,striker
Justine Kish,striker
Ludovit Klein,striker
Koji Kitao,striker
Satoru Kitaoka,submission specialist
Seth Kleinbeck,striker
Michael Knaap,striker
Stefan Klever,striker
Drakkar Klose,striker
Kevin Knabjian,striker
Isao Kobayashi,grappler
Kelly Kobold,striker
William Knight,striker
Jason Knight,submission specialist
Sokun Koh,striker
Shingo Kohara,striker
Erik Koch,submission specialist
Brad Kohler,striker
John Kolosci,striker
Tsuyoshi Kohsaka,striker
Charlie Kohler,submission specialist
Syuri Kondo,striker
Yuki Kondo,striker
Andrei Kopylov,striker
Cheick Kongo,striker
Roman Kopylov,striker
Andrey Koreshkov,grappler
Matt Kovacs,striker
Ilya Kotau,submission specialist
Marcus Kowal,striker
Naoyuki Kotani,striker
Iouri Kotchkine,striker
Josh Koscheck,grappler
Karolina Kowalkiewicz,striker
Steve Kozola,striker
Derrick Krantz,grappler
Jorgen Kruth,striker
James Krause,striker
Rene Kronvold,submission specialist
Pascal Krauss,striker
Nikita Krylov,submission specialist
Mariusz Ksiazkiewicz,submission specialist
Junya Kudo,striker
Anton Kuivanen,striker
Aleksei Kunchenko,striker
John Kuhner,striker
Maiju Kujala,striker
Michael Kuiper,striker
Keigo Kunihara,submission specialist
Kiichi Kunimoto,striker
Leo Kuntz,grappler
Yana Kunitskaya,striker
Korey Kuppe,submission specialist
Tsuyoshi Kurihara,striker
Ramazan Kuramagomedov,striker
Eldari Kurtanidze,striker
Kyle Kurtz,submission specialist
Guram Kutateladze,striker
Kaleo Kwan,striker
Lina Kvokov,striker
Jarrod Kwitty,submission specialist
Mike Kyle,striker
Achmed Labasanov,grappler
Josh LaBerge,striker
Jeremiah Labiano,striker
Kemran Lachinov,striker
Ryan LaFlare,striker
Aspen Ladd,submission specialist
Noad Lahat,submission specialist
Ben Lagman,striker
Tim Lajcik,striker
Tina Lahdemaki,striker
Todd Lally,striker
Sean Lally,striker
Jason Lambert,submission specialist
Aaron Lanfranco,striker
Austen Lane,striker
Ricardo Lamas,striker
Jose Landi-Jons,submission specialist
Nate Landwehr,striker
Jeremy Lang,submission specialist
Lionel Lanham,striker
Anthony Lapsley,striker
Chad Laprise,striker
Taylor Lapilus,striker
Icho Larenas,striker
TJ Laramie,striker
Lina Lansberg,striker
Jeremy Larsen,striker
Ryan Larson,striker
Bobby Lashley,grappler
Sione Latu,striker
Brock Larson,submission specialist
Ilir Latifi,grappler
Jenel Lausa,striker
Joe Lauzon,submission specialist
Chatt Lavender,striker
Dan Lauzon,submission specialist
Muhammed Lawal,grappler
Tom Lawlor,submission specialist
Justin Lawrence,striker
Lance Lawrence,striker
Robbie Lawler,striker
Lorenz Larkin,striker
Ronnie Lawrence,grappler
Eric Lawson,submission specialist
Valmir Lazaro,striker
Mounir Lazzez,striker
Cung Le,striker
Thanh Le,striker
Jordan Leavitt,submission specialist
Jerome LeBanner,striker
Mickael Lebout,striker
Stephen Ledbetter,grappler
Chris Leben,striker
James Lee,submission specialist
Justin Ledet,striker
David Lee,striker
Eun Soo Lee,striker
Jackie Lee,striker
Tae Hyun Lee,grappler
Tommy Lee,grappler
Matt Lee,striker
Imani Lee,striker
Vaughan Lee,submission specialist
Rocky Lee,striker
Andrea Lee,striker
Kevin Lee,striker
Ricky Legere Jr.,grappler
Sherron Leggett,grappler
Cheyden Leialoha,grappler
Stefan Leko,striker
Thales Leites,submission specialist
Giacomo Lemos,striker
Christophe Leninger,striker
Jean Francois Lenogue,striker
Gabe Lemley,striker
Amanda Lemos,striker
Jesse Lennox,striker
Alberta Cerra Leon,striker
Nik Lentz,submission specialist
Anthony Leone,striker
Chad Leonhardt,striker
Victoria Leonardo,striker
Michael Lerma,striker
Kimo Leopoldo,submission specialist
Lukasz Les,striker
Frank Lester,striker
Brock Lesnar,grappler
Justin Levens,submission specialist
Valerie Letourneau,striker
Leah Letson,striker
Marcus LeVesseur,grappler
David Levicki,striker
Kyle Levinton,striker
Natan Levy,submission specialist
John Lewis,striker
Chi Lewis-Parry,striker
Derrick Lewis,striker
Bevon Lewis,striker
Li Jingliang,striker
Sam Liera,striker
Zach Light,grappler
Chuck Liddell,striker
Scott Lighty,striker
Chris Liguori,striker
Jae Suk Lim,grappler
Hyun Gyu Lim,striker
Juliana Lima,striker
Douglas Lima,striker
Dhiego Lima,striker
Mabelly Lima,striker
Jess Liaudin,submission specialist
Miguel Linares,striker
Jake Lindsey,striker
Matt Lindland,submission specialist
John Lineker,striker
Philipe Lins,striker
Lucio Linhares,submission specialist
Donnie Liles,submission specialist
Ariane Lipski,striker
Wesley Little,striker
Abner Lloveras,striker
Brian Lo-A-Njoe,striker
Dean Lister,submission specialist
John Lober,striker
Artem Lobov,striker
Dylan Lockard,submission specialist
Sean Loeffler,striker
Michael Lombardo,grappler
David Loiseau,striker
Christian Lohsen,submission specialist
Hector Lombard,striker
Austin Lingo,striker
Rocky Long,striker
Thomas Longacre,striker
Loma Lookboonmee,striker
Lucas Lopes,striker
Ivan Lopez,striker
Dileno Lopes,submission specialist
Federico Lopez,striker
Steve Lopez,striker
Jorge Lopez,grappler
Christopher Lopez,striker
Gustavo Lopez,striker
Matthew Lopez,submission specialist
Nate Loughran,submission specialist
Brendan Loughnane,striker
Benito Lopez,striker
Rashard Lovelace,striker
Ian Loveland,striker
Waylon Lowe,grappler
Jakob Lovstad,striker
Brandon Lowe,striker
Matt Lucas,striker
Robert Lucarelli,striker
Cleber Luciano,striker
Joe Lowry,striker
Duane Ludwig,striker
Alexandru Lungu,striker
Thaddeus Luster,striker
Dalcha Lungiambula,grappler
Mike Lullo,striker
Travis Lutter,grappler
Tucker Lutz,striker
Vicente Luque,striker
Lv Zhenhong,striker
Stevie Lynch,striker
Adam Lynn,striker
Chris Lytle,submission specialist
Dong Hyun Ma,striker
William Macario,striker
Jason MacDonald,submission specialist
Rob MacDonald,submission specialist
Rory MacDonald,striker
Ryan MacDonald,striker
Veronica Macedo,striker
Clayton MacFarlane,striker
War Machine,striker
Anthony Macias,striker
Lyoto Machida,striker
Ryan Madigan,striker
Pauline Macias,grappler
Don Madge,grappler
Ilima Macfarlane,submission specialist
Mark Madsen,grappler
Jon Madsen,striker
Yoshiro Maeda,grappler
Vinicius Magalhaes,striker
Vinny Magalhaes,striker
Bernardo Magalhaes,striker
Eric Magana,striker
Caio Magalhaes,submission specialist
Brandon Magana,striker
Reza Madadi,grappler
Angela Magana,striker
Neil Magny,striker
Rashid Magomedov,striker
Ruslan Magomedov,striker
Ibragim Magomedov,striker
John Maguire,submission specialist
Zabit Magomedsharipov,grappler
Lolohea Mahe,grappler
Leonardo Mafra,striker
Michelle Maher,striker
Bill Mahood,submission specialist
Levan Makashvili,grappler
Jennifer Maia,striker
Klayton Mai,submission specialist
John Makdessi,striker
Demian Maia,submission specialist
Aliev Makhmud,grappler
Islam Makhachev,submission specialist
Marvin Maldonado,striker
Zach Makovsky,grappler
Jeremy Malaterre,striker
Fabio Maldonado,striker
Nazareno Malegarie,striker
Carl Malenko,striker
Bea Malecki,submission specialist
Jacob Malkoun,striker
Nate Maness,striker
Michael Mangan,grappler
Mike Malott,striker
Troy Mandaloniz,striker
Jon Manley,striker
Melchor Manibusan,striker
Gary Mangat,striker
Melvin Manhoef,striker
Chris Manuel,striker
Steve Mann,striker
Cristiano Marcello,striker
Jimi Manuwa,striker
Jose Maria,submission specialist
Enrique Marin,submission specialist
Marcos Mariano,striker
Ronny Markes,grappler
Rory Markham,striker
Christina Marks,grappler
Randa Markos,striker
Nate Marquardt,striker
Danilo Marques,submission specialist
Carmelo Marrero,grappler
Julian Marquez,submission specialist
Cesar Marscucci,striker
CJ Marsh,striker
John Marsh,striker
Eliot Marshall,striker
David Marshall,striker
Jack Marshman,striker
Doug Marshall,submission specialist
Terry Martin,grappler
Eric Martin,striker
Dave Martin,striker
Justin Martin,striker
Joe Martin,striker
Michal Martinek,striker
Mallory Martin,striker
Rainy Martinez,striker
Anthony Rocco Martin,submission specialist
Danny Martinez,grappler
Henry Martinez,striker
Alonzo Martinez,striker
Jonathan Martinez,striker
Andrew Martinez,striker
Victor Martinez,striker
Roque Martinez,striker
Mana Martinez,submission specialist
Poppies Martinez,submission specialist
Wagner da Conceicao Martins,grappler
Adriano Martins,striker
Lucas Martins,striker
Jameel Massouh,striker
Mike Massenzio,submission specialist
Shoji Maruyama,striker
Max Martyniouk,striker
Bristol Marunde,grappler
Jorge Masvidal,striker
Tiffany Masters,striker
Tateki Matsuda,striker
Naoki Matsushita,striker
AJ Matthews,striker
Koichiro Matsumoto,striker
Daijiro Matsui,grappler
Jake Matthews,striker
Claudio Mattos,striker
Francesco Maturi,striker
John Matua,striker
Miranda Maverick,striker
Nick Maximov,striker
Vladimir Matyushenko,grappler
Elaina Maxwell,submission specialist
Jeremy May,striker
Al Matavao,striker
Jack May,striker
Don'Tale Mayes,striker
Brooke Mayo,submission specialist
Gina Mazany,grappler
Gray Maynard,grappler
Scott McAfee,striker
Sabina Mazo,striker
Michael McBride,submission specialist
Bobby McAndrews,submission specialist
Ian McCall,striker
Molly McCann,striker
Charles McCarthy,submission specialist
Sean McCorkle,submission specialist
Kris McCray,grappler
Tamdan McCrory,submission specialist
Justin McCully,striker
Michael McDonald,submission specialist
Rob McCullough,striker
Robert McDaniel,submission specialist
Scott McDonald,striker
Josh McDonald,grappler
Miles McDonald,submission specialist
Justin McElfresh,striker
Drew McFedries,striker
Liam McGeary,submission specialist
Gan McGee,striker
Court McGee,striker
Ryan McGillivray,striker
Ryan McGivern,striker
Conor McGregor,striker
Jack McGlaughlin,striker
Greg McIntyre,grappler
AJ McKee,submission specialist
Antonio McKee,grappler
Rhys McKee,striker
Tim McKenzie,submission specialist
Terrance McKinney,grappler
Cory McKenna,striker
Cody McKenzie,submission specialist
Jason McLean,striker
Brian McLaughlin,striker
Garreth McLellan,striker
Sara McMann,grappler
Charles McTorry,striker
Daniel McWilliams,submission specialist
James McSweeney,submission specialist
Tim Means,striker
Kaline Medeiros,submission specialist
Anistavio Medeiros,striker
Yancy Medeiros,striker
Uros Medic,striker
Jason Medina,striker
Todd Medina,striker
Emil Meek,submission specialist
Sanford Alton Meeks,grappler
Frank Megallon,striker
Bryce Mejia,striker
Gerald Meerschaert,submission specialist
Derrick Mehmen,striker
Jordan Mein,striker
Miika Mehmet,striker
Brian Melancon,striker
Brandon Melendez,striker
Fabio Mello,striker
Gilbert Melendez,striker
Vanessa Melo,striker
Marcelo Mello,striker
Antonio Mendes,grappler
Augusto Mendes,striker
Chad Mendes,grappler
Eddie Mendez,striker
Luis Mendoza,striker
Pietro Menga,striker
Alonzo Menifield,striker
Ivan Menjivar,submission specialist
Steve Mensing,striker
Dave Menne,submission specialist
Adam Meredith,submission specialist
Buck Meredith,striker
Joe Merritt,striker
Jonathan Meunier,striker
Jeremiah Metcalf,submission specialist
Brandon Michaels,striker
Yaotzin Meza,submission specialist
Guy Mezger,striker
David Michaud,striker
Andreas Michailidis,striker
Kristof Midoux,striker
Keith Mielke,striker
Zachary Micklewright,striker
Chris Mierzwiak,submission specialist
Bojan Mihajlovic,striker
Gabriel Miglioli,striker
Billy Miles,striker
Phillip Miller,grappler
Jason Miller,submission specialist
Dan Miller,submission specialist
Curtis Millender,striker
Pat Miletich,submission specialist
Cole Miller,submission specialist
Chris Mickle,striker
Jim Miller,submission specialist
Micah Miller,submission specialist
Aaron Miller,striker
Henry Miller,striker
Che Mills,striker
Eddy Millis,submission specialist
Adam Milstead,striker
Alberto Mina,striker
Stipe Miocic,striker
Vitaly Minakov,striker
Darrick Minner,submission specialist
Mike Minniger,striker
Carlton Minus,striker
Ikuhisa Minowa,submission specialist
Juan Miranda,striker
Mario Miranda,striker
Frank Mir,submission specialist
Damir Mirenic,striker
Vitor Miranda,striker
Toby Misech,striker
Kazuo Misaki,striker
Dokonjonosuke Mishima,submission specialist
Felix Lee Mitchell,striker
Danny Mitchell,submission specialist
Brad Mitchell,submission specialist
David Mitchell,submission specialist
Maurice Mitchell,striker
Clay Mitchell,submission specialist
Bryce Mitchell,submission specialist
Roman Mitichyan,submission specialist
Eiji Mitsuoka,submission specialist
Jonathan  Mix,striker
Matt Mitrione,striker
Motoki Miyazawa,striker
Hiromitsu Miura,grappler
Tomoya Miyashita,submission specialist
Kazuyuki Miyata,grappler
Takeya Mizugaki,striker
Tatsuya Mizuno,submission specialist
Bobby Moffett,submission specialist
Roxanne Modafferi,striker
Bronson Mohika,striker
Thiago Moises,submission specialist
Nate Mohr,striker
Renato Moicano,striker
Ashkan Mokhtarian,striker
Suman Mokhtarian,striker
Rudyard Moncayo,striker
Dan Molina,submission specialist
Jeff Molina,striker
Jeff Monson,grappler
Hidetaka Monma,striker
Darrell Montague,submission specialist
Andrew Montanez,striker
Nicco Montano,striker
Erick Montano,striker
Alberto Montes,striker
Augusto Montano,striker
James Moontasri,striker
Homer Moore,grappler
Steve Montgomery,striker
Todd Moore,striker
Nate Moore,striker
Dustin Moore,striker
Taylor Moore,striker
Sergio Moraes,striker
Ricardo Morais,striker
Marlon Moraes,striker
Sheymon Moraes,striker
John Moraga,submission specialist
Leonardo Morales,striker
Vince Morales,striker
Joseph Morales,submission specialist
Albert Morales,striker
Omar Morales,striker
Joe Moreira,striker
Christian Morecraft,submission specialist
Sarah Moras,striker
Richardson Moreira,striker
Gisele Moreira,striker
Jesse Moreng,grappler
Vinicius Moreira,submission specialist
Brandon Moreno,striker
Mike Moreno,striker
Dan Moret,striker
Sammy Morgan,grappler
Peggy Morgan,striker
Alex Morono,striker
Maryna Moroz,striker
Sergey Morozov,striker
Brad Morris,striker
Scott Morris,striker
Anthony Morrison,striker
Jack Morrison,striker
Harry Moskowitz,striker
Nikolas Motta,striker
Juan Mott,striker
Flavio Luiz Moura,striker
Kin Moy,submission specialist
Jamie Moyle,striker
Gegard Mousasi,submission specialist
Su Mudaerji,striker
Garrett Mueller,striker
Lauren Mueller,striker
Belal Muhammad,striker
Fazlo Mulabitinovic,submission specialist
James Mulheron,striker
Quinn Mulhern,striker
Jamie Mullarkey,grappler
Jim Mullen,striker
Pedro Munhoz,striker
Andre Muniz,submission specialist
Alexander Munoz,striker
Mark Munoz,grappler
Andy Murad,striker
Johnny Munoz,submission specialist
Kazunari Murakami,striker
Makhmud Muradov,striker
Kanako Murata,submission specialist
Ryuichi Murata,submission specialist
