fighter_name,classification
Kenneth Bergh,striker
Steve Berger,submission specialist
Bret Bergmark,submission specialist
Keith Berish,striker
Dennis Bermudez,submission specialist
Dave Berry,striker
Talita Bernardo,striker
Manny Bermudez,submission specialist
Keith Berry,striker
Dieusel Berto,striker
Edson Berto,submission specialist
Allen Berube,submission specialist
Anton Berzin,submission specialist
Khadzhi Bestaev,striker
Matt Bessette,striker
Scott Bessac,striker
Fernando Bettega,striker
Arjan Bhullar,striker
Bibulatov Magomed,striker
KB Bhullar,striker
David Bielkheden,grappler
Jeremiah Billington,striker
Scott Bills,striker
Anthony Birchak,striker
Chris Birchler,striker
Simon Biyong,striker
Amaury Bitetti,striker
Michael Bisping,striker
Jan Blachowicz,striker
Tom Blackledge,striker
Jason Black,submission specialist
Brad Blackburn,striker
Jason Blackford,striker
Maximo Blanco,striker
Sherrard Blackledge,grappler
David Blanco,striker
Curtis Blaydes,grappler
Arlene Blencowe,striker
Byron Bloodworth,striker
Dashawn Boatwright,striker
Dan Bobish,submission specialist
Kyle Bochniak,striker
Mark Bocek,submission specialist
James Bochnovic,striker
Jeremy Boczulak,striker
Galore Bofando,striker
Jay Bogan,striker
Tim Boetsch,striker
Roman Bogatov,striker
Derek Bohi,striker
Jerry Bohlander,striker
Kotetsu Boku,striker
Kyle Bolt,striker
Denys Bondar,striker
Luc Bondole,submission specialist
Tony Bonello,striker
Jesse Bongfeldt,striker
Marcos Bonilla,striker
Rogerio Bontorin,submission specialist
Stephan Bonnar,submission specialist
Ray Borg,submission specialist
Igor Borisov,striker
Tanner Boser,striker
Calen Born,striker
Steve Bosse,striker
Marcus Bossett,striker
Chris Bostick,striker
Poliana Botelho,striker
Francois Botha,striker
Rich Bouphanouvong,striker
Gregory Bouchelaghem,striker
Roy Boughton,striker
Mike Bourke,striker
Jess Bouscal,striker
Tai Bowden,striker
Melton Bowen,striker
Kyron Bowen,striker
Blake Bowman,striker
Brian Bowles,submission specialist
Roger Bowling,striker
Ashe Bowman,striker
Colley  Bradford,grappler
Kyle Bradley,striker
Paul Bradley,striker
Sean Brady,submission specialist
Ebenezer Fontes Braga,striker
Joe Brammer,striker
Ramiz Brahimaj,striker
David Branch,grappler
Michael Bravo,striker
Martin Bravo,striker
Diego Brandao,grappler
Tom Breese,submission specialist
Mike Breeden,striker
Chris Brennan,submission specialist
Charlie Brenneman,grappler
Robert Breslin,striker
Marcos Brigagao,striker
Mack Brewer,striker
Jason Brilz,submission specialist
Marcus Brimage,striker
Aaron Brink,striker
Marcelo Brito,striker
Henry Briones,striker
Drew Brokenshire,striker
Antwain Britt,grappler
Mike Bronzoulis,striker
Jonathan Brookins,striker
Will Brooks,striker
Jarred Brooks,grappler
Rob Broughton,submission specialist
Terrell Brown,striker
Dominic Brown,striker
Mike Brown,grappler
Chris Brown,striker
Todd Brown,striker
Matt Brown,submission specialist
Frederick Brown,striker
TJ Brown,grappler
Damien Brown,striker
Randy Brown,striker
Junie Browning,submission specialist
Humberto Brown Morrison,striker
Travis Browne,striker
Jules Bruchez,striker
Lee Brousseau,striker
Justin Bruckmann,striker
Cody Brundage,striker
Steve Bruno,grappler
Fernando Bruno,grappler
Derek Brunson,striker
Josh Bryant,striker
Justin Buchholz,striker
Dennis Bryant,striker
Zak Bucia,striker
Courtney Buck,striker
Julia Budd,grappler
Joaquin Buckley,striker
Mike Budnik,submission specialist
Francisco Bueno,striker
Mayra Bueno Silva,submission specialist
Paul Buentello,striker
Modestas Bukauskas,striker
Lee Kwan Bum,striker
Shawn Bunch,striker
Josh Bumgarner,striker
Wuliji Buren,grappler
Shane Burgos,striker
Joshua Burkman,striker
Mads Burnell,grappler
Mikey Burnett,striker
Josh Burns,striker
Kevin Burns,striker
Herbert Burns,submission specialist
Gilbert Burns,striker
Derrick Burnsed,striker
Nah-Shon Burrell,striker
Martin Buschkamp,striker
Bubba Bush,grappler
George Bush,grappler
Nick Bustamante,striker
Murilo Bustamante,submission specialist
Jason Butcher,grappler
Eduardo Bustillos,striker
Todd Butler,striker
Ian Butler,striker
Goldman Butler,striker
Cheyanne Buys,striker
Raphael Butler,submission specialist
JP Buys,submission specialist
Dennis Buzukja,submission specialist
Charles Byrd,submission specialist
Steve Byrnes,submission specialist
Michael Byrnes,striker
Alvin Cacdac,striker
Yan Cabral,submission specialist
Alex Caceres,striker
Vince Cachero,striker
Priscila Cachoeira,striker
Travis Calanoc,striker
Ricky Calatayud,striker
Darrion Caldwell,grappler
Joanne Calderwood,striker
Taylor Callens,striker
Joe Camacho,striker
Cynthia Calvillo,submission specialist
Frank Camacho,striker
Fabricio Camoes,submission specialist
Chris Camozzi,striker
Brian Camozzi,striker
Thomas Campbell,striker
Mike Campbell,grappler
Shane Campbell,striker
John Campetella,striker
Wagner Campos,grappler
Derek Campos,striker
Will Campuzano,striker
Chico Camus,striker
Asbel Cancio,striker
Aleksa Camur,striker
Carlos Candelario,striker
Ronaldo Candido,submission specialist
Guido Cannetti,striker
Luiz Cane,striker
Cody Canterbury,striker
Jose Canseco,striker
Jared Cannonier,striker
Bo Cantrell,striker
Phil Caracappa,submission specialist
Steve Cantwell,striker
Frank Caracci,striker
Gina Carano,submission specialist
Phil Cardella,submission specialist
Dos Caras Jr.,striker
Remo Cardarelli,striker
Bryan Caraway,grappler
Edgar Cardenas,striker
Chris Cariaso,striker
Ronald Carillo,striker
Rafael Carino,striker
Don Carlo-Clauss,striker
Antonio Carlos Junior,grappler
Spike Carlyle,grappler
Francis Carmont,striker
Liz Carmouche,striker
Ariane Carnelossi,striker
Roan Carneiro,submission specialist
Luana Carolina,submission specialist
Tim Caron,striker
Cody Carrillo,striker
Gabriel Carrasco,striker
Cain Carrizosa,striker
Roger Carroll,striker
Jonny Carson,striker
Scott Carson,striker
Shonie Carter,striker
Bruno Carvalho,submission specialist
Antonio Carvalho,striker
Rafael Carvalho,grappler
Shane Carwin,striker
Johnny Case,striker
Kevin Casey,striker
Cortney Casey,striker
Bendy Casimir,striker
Brandon Cash,grappler
Dwayne Cason,striker
Joe Cason,striker
John Castaneda,striker
Eric Castile,striker
Gil Castillo,grappler
Raul Castillo,striker
Jenna Castillo,striker
Tim Catalfo,striker
Danny Castillo,grappler
Nick Catone,grappler
Luke Caudillo,striker
Gesias Cavalcante,submission specialist
Rafael Cavalcante,striker
Adam Cella,submission specialist
Henry Cejudo,striker
Yosdenis Cedeno,striker
Magnus Cedenblad,submission specialist
Jared Chaffee,striker
Luan Chagas,striker
Donald Cerrone,submission specialist
Ansar Chalangov,submission specialist
Donnie Chappell,striker
Alex Chambers,submission specialist
Joe Charles,striker
Michael Chandler,submission specialist
Dan Charles,striker
Emilio Chavez,grappler
Ernest Chavez,striker
Danny Chavez,striker
Gabriel Checco,striker
Fabio Cherant,striker
Ion Cherdivara,striker
Albert Cheng,striker
Mark Cherico,grappler
Macy Chiasson,striker
Giga Chikadze,striker
Michael Chiesa,grappler
Khamzat Chimaev,submission specialist
Mu Bae Choi,submission specialist
Dooho Choi,striker
Hong Man Choi,striker
Sako Chivitchian,striker
SeungWoo Choi,striker
John Cholish,striker
Joachim Christensen,striker
Will Chope,striker
