red_fighter_name,blue_fighter_name,event_date,red_fighter_nickname,blue_fighter_nickname,red_fighter_result,blue_fighter_result,method,round,time,time_format,referee,details,bout_type,bonus,event_name,event_location,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str,blue_fighter_sig_str,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_total_str,blue_fighter_total_str,red_fighter_TD,blue_fighter_TD,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head,blue_fighter_sig_str_head,red_fighter_sig_str_body,blue_fighter_sig_str_body,red_fighter_sig_str_leg,blue_fighter_sig_str_leg,red_fighter_sig_str_distance,blue_fighter_sig_str_distance,red_fighter_sig_str_clinch,blue_fighter_sig_str_clinch,red_fighter_sig_str_ground,blue_fighter_sig_str_ground,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_fighter_total_pts,blue_fighter_total_pts
OMARI AKHMEDOV,SERGIO MORAES,10/12/2015,Wolverine,The Panther,L,W,KO/TKO,3,2:18,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance,Welterweight Bout,-,UFC Fight Night: Namajunas vs. VanZant,"Las Vegas, Nevada, USA",1,1,35,21,29,30,38,22,1,0,100,0,0,0,0,0,0:51,0:02,17,17,10,2,8,2,29,19,2,1,4,1,48,80,28,9,22,9,82,90,5,4,11,4,,
ZUBAIRA TUKHUGOV,PHILLIPE NOVER,10/12/2015,Warrior,The Filipino Assassin,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 29 - 28. Dave Hagen 27 - 30. Roy Silbert 27 - 30.,Featherweight Bout,-,UFC Fight Night: Namajunas vs. VanZant,"Las Vegas, Nevada, USA",0,0,21,20,25,25,23,20,1,0,100,0,0,0,0,0,0:38,0:21,15,6,3,13,3,1,16,19,3,1,2,0,71,30,14,65,14,5,76,95,14,5,9,0,,
KAILIN CURRAN,EMILY KAGAN,10/12/2015,-,-,W,L,Submission,2,4:13,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,Women's Strawweight Bout,-,UFC Fight Night: Namajunas vs. VanZant,"Las Vegas, Nevada, USA",0,0,21,22,42,27,32,49,1,1,100,11,2,0,0,0,1:14,4:37,8,17,12,4,1,1,14,19,7,3,0,0,38,77,57,18,4,4,66,86,33,13,0,0,,
BENSON HENDERSON,JORGE MASVIDAL,28/11/2015,Smooth,Gamebred,W,L,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Barry Foley 47 - 48. Mark Craig 48 - 47. Charlie Keech 46 - 49.,Welterweight Bout,-,UFC Fight Night: Henderson vs Masvidal,"Seoul, South Korea",0,0,86,77,58,49,138,217,3,1,25,20,0,1,0,0,6:52,3:49,42,38,24,35,20,4,61,51,23,24,2,2,48,49,27,45,23,5,70,66,26,31,2,2,,
YOSHIHIRO AKIYAMA,ALBERTO MINA,28/11/2015,-,Soldier of God,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Steve Perceval,Evan Field 28 - 29. Mark Craig 29 - 28. Barry Foley 28 - 29.,Welterweight Bout,-,UFC Fight Night: Henderson vs Masvidal,"Seoul, South Korea",0,1,78,69,54,45,92,84,0,2,0,13,0,0,0,0,1:23,0:37,53,46,2,5,23,18,66,56,1,10,11,3,67,66,2,7,29,26,84,81,1,14,14,4,,
DONGI YANG,JAKE COLLIER,28/11/2015,The Ox,The Prototype,W,L,KO/TKO,2,1:50,3 Rnd (5-5-5),Herb Dean,Punches to Head On Ground,Middleweight Bout,-,UFC Fight Night: Henderson vs Masvidal,"Seoul, South Korea",0,1,29,22,69,53,54,29,1,0,16,0,0,0,0,0,1:57,1:47,23,8,5,9,1,5,15,20,2,2,12,0,79,36,17,40,3,22,51,90,6,9,41,0,,
YUI CHUL NAM,MIKE DE LA TORRE,28/11/2015,The Korean Bulldozer,El Cucuy,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Leon Roberts,Evan Field 28 - 29. Barry Foley 29 - 28. Charlie Keech 28 - 29.,Featherweight Bout,-,UFC Fight Night: Henderson vs Masvidal,"Seoul, South Korea",0,0,53,47,44,49,97,107,1,0,4,0,0,0,0,0,5:07,3:57,29,37,24,8,0,2,25,27,28,14,0,6,54,78,45,17,0,4,47,57,52,29,0,12,,
TAE HYUN BANG,LEO KUNTZ,28/11/2015,Supernatural,The Lion,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Steve Perceval,Garth Harriman 28 - 29. Mark Craig 29 - 28. Charlie Keech 28 - 29.,Lightweight Bout,-,UFC Fight Night: Henderson vs Masvidal,"Seoul, South Korea",1,0,54,31,49,34,68,74,1,3,100,25,2,1,1,0,0:25,6:24,50,25,3,4,1,2,41,27,4,2,9,2,92,80,5,12,1,6,75,87,7,6,16,6,,
GUANGYOU NING,MARCO BELTRAN,28/11/2015,Smasher,Psycho,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Steve Perceval,Evan Field 28 - 29. Mark Craig 29 - 28. Garth Harriman 28 - 29.,Bantamweight Bout,-,UFC Fight Night: Henderson vs Masvidal,"Seoul, South Korea",0,0,23,30,37,33,67,44,0,1,0,100,0,0,0,0,3:49,0:02,11,13,5,12,7,5,14,18,6,11,3,1,47,43,21,40,30,16,60,60,26,36,13,3,,
DOMINIQUE STEELE,DONG HYUN MA,28/11/2015,Non-Stop Action-Packed,Maestro,W,L,KO/TKO,3,0:27,3 Rnd (5-5-5),Leon Roberts,Slam to On Ground,Welterweight Bout,perf,UFC Fight Night: Henderson vs Masvidal,"Seoul, South Korea",1,0,36,19,59,45,84,52,4,0,100,0,0,0,0,0,6:12,1:16,35,8,1,10,0,1,6,10,9,9,21,0,97,42,2,52,0,5,16,52,25,47,58,0,,
