red_fighter_name,blue_fighter_name,event_date,red_fighter_nickname,blue_fighter_nickname,red_fighter_result,blue_fighter_result,method,round,time,time_format,referee,details,bout_type,bonus,event_name,event_location,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str,blue_fighter_sig_str,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_total_str,blue_fighter_total_str,red_fighter_TD,blue_fighter_TD,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head,blue_fighter_sig_str_head,red_fighter_sig_str_body,blue_fighter_sig_str_body,red_fighter_sig_str_leg,blue_fighter_sig_str_leg,red_fighter_sig_str_distance,blue_fighter_sig_str_distance,red_fighter_sig_str_clinch,blue_fighter_sig_str_clinch,red_fighter_sig_str_ground,blue_fighter_sig_str_ground,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_fighter_total_pts,blue_fighter_total_pts
LERONE MURPHY,DAN IGE,26/10/2024,The Miracle,50K,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Ben Cartlidge 28 - 29. Hadi Mohamed Ali 28 - 29.,Featherweight Bout,-,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,1,52,46,52,43,78,52,3,1,60,33,0,0,0,2,2:17,4:47,36,35,12,5,4,6,37,32,12,6,3,8,69,76,23,10,7,13,71,69,23,13,5,17,29 29 29,28 28 28
MATEUSZ REBECKI,MYKTYBEK OROLBAI,26/10/2024,-,-,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Jacob Montalvo 29 - 28. Sal D'amato 28 - 29. Ben Cartlidge 28 - 29.,Catch Weight Bout,fight,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,0,71,61,48,45,93,85,3,2,75,40,0,0,0,1,2:24,2:05,52,46,10,6,9,9,54,60,5,0,12,1,73,75,14,9,12,14,76,98,7,0,16,1,29 29 28,28 28 29
FARID BASHARAT,VICTOR HUGO,26/10/2024,Ferocious,Striker,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Mike Bell 27 - 30. Hadi Mohamed Ali 28 - 29. David Lethaby 28 - 29.,Featherweight Bout,-,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,60,45,47,36,89,48,4,1,57,25,0,1,0,0,4:37,0:18,39,23,8,14,13,8,54,43,2,2,4,0,65,51,13,31,21,17,90,95,3,4,6,0,30 29 29,27 28 28
ISMAIL NAURDIEV,BRUNO SILVA,26/10/2024,-,Blindado,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato 27 - 30. Jacob Montalvo 27 - 30. Tony Weeks 27 - 30.,Middleweight Bout,-,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,66,36,56,37,107,38,3,0,23,0,0,0,0,0,5:51,0:00,42,28,15,4,9,4,51,30,11,6,4,0,63,77,22,11,13,11,77,83,16,16,6,0,30 30 30,27 27 27
RINAT FAKHRETDINOV,CARLOS LEAL,26/10/2024,Gladiator,The Lion,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Mike Bell 28 - 29. David Lethaby 28 - 29. Hadi Mohamed Ali 27 - 30.,Welterweight Bout,-,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,109,107,49,43,119,146,2,1,10,25,0,0,0,0,3:14,0:13,82,72,15,16,12,19,96,94,13,13,0,0,75,67,13,14,11,17,88,87,11,12,0,0,29 30 29,28 27 28
ANTHONY HERNANDEZ,MICHEL PEREIRA,19/10/2024,Fluffy,Demolidor,W,L,KO/TKO,5,2:22,5 Rnd (5-5-5-5-5),Herb Dean,Elbows to Head On Ground,Middleweight Bout,perf,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",0,0,152,24,71,45,219,29,10,0,34,0,0,1,0,1,15:42,0:56,125,8,22,16,5,0,43,20,12,4,97,0,82,33,14,66,3,0,28,83,7,16,63,0,40 39 40,35 34 35
ROB FONT,KYLER PHILLIPS,19/10/2024,-,The Matrix,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29. Derek Cleary 28 - 29. Junichiro Kamijo 28 - 29.,Bantamweight Bout,-,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",0,0,61,38,44,30,65,50,0,4,0,80,0,0,0,0,1:19,4:42,50,19,11,9,0,10,56,32,5,1,0,5,81,50,18,23,0,26,91,84,8,2,0,13,29 29 29,28 28 28
CHARLES JOHNSON,SUMUDAERJI,19/10/2024,InnerG,The Tibetan Eagle,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Chris Leben 28 - 29. Ron McCarthy 28 - 29.,Flyweight Bout,-,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",1,0,65,75,43,52,84,78,2,0,33,0,0,2,0,1,2:58,0:50,42,41,15,7,8,27,49,68,5,7,11,0,64,54,23,9,12,36,75,90,7,9,16,0,29 29 29,28 28 28
MATHEUS NICOLAU,ASU ALMABAYEV,19/10/2024,-,Zulfikar,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29. Ron McCarthy 28 - 29. Brian Puccillo 28 - 29.,Flyweight Bout,-,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",0,1,16,22,38,40,38,55,0,1,0,16,1,0,0,0,0:00,5:17,8,7,5,8,3,7,12,17,0,1,4,4,50,31,31,36,18,31,75,77,0,4,25,18,28 28 28,29 29 29
BRAD KATONA,JEAN MATSUMOTO,19/10/2024,Superman,-,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Derek Cleary 28 - 29. Ron McCarthy 28 - 29.,Bantamweight Bout,-,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",0,0,89,89,63,44,117,109,3,1,37,14,0,0,0,0,3:35,2:04,68,62,12,6,9,21,73,85,15,4,1,0,76,69,13,6,10,23,82,95,16,4,1,0,28 28 28,29 29 29
JOSELYNE EDWARDS,TAMIRES VIDAL,19/10/2024,La Pantera,Tractor,W,L,Submission,3,4:33,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,Women's Bantamweight Bout,-,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",0,0,81,34,60,49,151,53,4,0,57,0,2,0,0,0,4:30,2:35,48,15,20,9,13,10,61,25,9,9,11,0,59,44,24,26,16,29,75,73,11,26,13,0,20 20 20,18 18 18
BRANDON ROYVAL,TATSURO TAIRA,12/10/2024,Raw Dawg,-,W,L,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Chris Lee 47 - 48. Sal D'amato 48 - 47. Ron McCarthy 47 - 48.,Flyweight Bout,fight,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",0,0,124,42,53,42,172,80,3,6,100,40,3,1,2,0,2:23,12:13,114,34,10,5,0,3,97,38,11,0,16,4,91,80,8,11,0,7,78,90,8,0,12,9,47 48 48,48 47 47
DANIEL RODRIGUEZ,ALEX MORONO,12/10/2024,D-Rod,The Great White,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Adalaide Byrd 28 - 29. Sal D'amato 29 - 28. Mike Bell 28 - 29.,Welterweight Bout,-,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",0,0,123,74,47,28,126,91,1,0,100,0,0,0,0,0,0:56,0:00,44,58,56,9,23,7,117,74,6,0,0,0,35,78,45,12,18,9,95,100,4,0,0,0,29 29 28,28 28 29
THEMBA GORIMBO,NIKO PRICE,12/10/2024,The Answer,The Hybrid,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 27 - 30. Eric Colon 27 - 30. Sal D'amato 27 - 30.,Welterweight Bout,-,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",0,0,68,16,53,30,141,58,7,0,77,0,2,1,0,0,9:14,1:00,44,13,9,2,15,1,43,11,6,5,19,0,64,81,13,12,22,6,63,68,8,31,27,0,30 30 30,27 27 27
JULIA POLASTRI,CORY MCKENNA,12/10/2024,Psycho,Poppins,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 28 - 29. Sal D'amato 29 - 28. Ron McCarthy 27 - 30.,Women's Strawweight Bout,-,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",0,0,88,40,60,32,142,98,0,1,0,16,0,0,0,0,3:13,5:20,40,30,35,6,13,4,54,35,32,5,2,0,45,75,39,15,14,10,61,87,36,12,2,0,29 28 30,28 29 27
DAN ARGUETA,CODY HADDON,12/10/2024,The Determined,-,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 27 - 30. Chris Lee 27 - 30. Tony Weeks 27 - 30.,Bantamweight Bout,-,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",0,0,54,140,38,50,65,148,4,2,16,50,1,0,0,0,4:23,1:31,34,100,13,38,7,2,42,130,9,10,3,0,62,71,24,27,12,1,77,92,16,7,5,0,27 27 27,30 30 30
MARINA RODRIGUEZ,IASMIN LUCINDO,05/10/2024,-,-,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,Steve Faragher 29 - 28. Mike Bell 28 - 29. Dan Furse 28 - 29.,Women's Strawweight Bout,-,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",0,0,33,30,33,41,65,55,1,3,100,75,0,0,0,1,0:11,4:40,28,19,5,9,0,2,28,27,3,1,2,2,84,63,15,30,0,6,84,90,9,3,6,6,29 28 28,28 29 29
AUSTIN HUBBARD,ALEXANDER HERNANDEZ,05/10/2024,Thud,The Great Ape,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Tyler Tomlinson,Chris Lee 30 - 27. Dan Furse 28 - 29. Steve Faragher 28 - 29.,Lightweight Bout,-,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",0,0,63,79,32,38,65,91,0,0,0,0,0,0,0,0,0:05,0:40,32,41,25,22,6,16,60,78,3,1,0,0,50,51,39,27,9,20,95,98,4,1,0,0,30 28 28,27 29 29
CESAR ALMEIDA,IHOR POTIERIA,05/10/2024,Cesinha,Duelist,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dave Seljestad,Steve Faragher 27 - 30. Chris Lee 27 - 30. Dan Furse 27 - 30.,Middleweight Bout,-,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",0,0,57,44,50,49,78,57,0,3,0,37,1,0,1,0,2:15,3:32,32,22,14,9,11,13,41,42,1,1,15,1,56,50,24,20,19,29,71,95,1,2,26,2,30 29 30,27 28 27
WILLIAM GOMIS,JOANDERSON BRITO,28/09/2024,Jaguar,Tubarao,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Ben Cartlidge 28 - 29. Anders Ohlsson 29 - 28. Clemens Werner 28 - 29.,Featherweight Bout,-,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",0,0,43,29,60,43,69,57,0,3,0,50,0,2,1,0,3:52,6:40,16,9,18,5,9,15,30,23,13,2,0,4,37,31,41,17,20,51,69,79,30,6,0,13,29 28 29,28 29 28
KEVIN JOUSSET,BRYAN BATTLE,28/09/2024,Air,The Butcher,L,W,KO/TKO,2,3:47,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Welterweight Bout,perf,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",0,0,58,97,59,57,63,118,0,0,0,0,0,0,0,0,0:12,3:31,31,79,10,17,17,1,46,80,12,17,0,0,53,81,17,17,29,1,79,82,20,17,0,0,9 10 10,10 10 9
MORGAN CHARRIERE,GABRIEL MIRANDA,28/09/2024,The Last Pirate,Fly,W,L,KO/TKO,2,0:27,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance,Featherweight Bout,perf,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",1,0,19,11,67,28,28,17,2,1,100,25,0,0,1,0,2:12,1:07,15,7,1,3,3,1,10,9,2,2,7,0,78,63,5,27,15,9,52,81,10,18,36,0,10 10 10,9 9 9
FARES ZIAM,MATT FREVOLA,28/09/2024,Smile Killer,The SteamRolla,W,L,KO/TKO,3,2:59,3 Rnd (5-5-5),Loic Pora,Knee to Head In Clinch,Lightweight Bout,perf,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",1,0,58,16,61,27,69,25,4,1,100,33,1,1,1,1,4:43,2:47,44,7,11,7,3,2,45,9,7,7,6,0,75,43,18,43,5,12,77,56,12,43,10,0,20 20 20,18 18 17
ION CUTELABA,IVAN ERSLAN,28/09/2024,The Hulk,-,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Anders Ohlsson 28 - 29. Damien Gluski 29 - 28. Clemens Werner 28 - 29.,Light Heavyweight Bout,-,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",0,0,45,39,37,56,80,63,3,1,25,50,0,0,0,1,1:59,5:19,24,29,9,7,12,3,38,33,6,5,1,1,53,74,20,17,26,7,84,84,13,12,2,2,28 29 29,29 28 28
OUMAR SY,DA WOON JUNG,28/09/2024,-,Sseda,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Ben Cartlidge 27 - 30. Sal D'amato 27 - 30. David Lethaby 27 - 30.,Light Heavyweight Bout,-,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",0,0,90,29,60,24,97,36,2,0,28,0,0,0,0,1,3:02,0:09,44,18,19,5,27,6,78,25,12,4,0,0,48,62,21,17,30,20,86,86,13,13,0,0,30 30 30,27 27 27
LUDOVIT KLEIN,ROOSEVELT ROBERTS,28/09/2024,Mr. Highlight,The Predator,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Christophe Chapuis,Ludovic Dandine 27 - 30. Anders Ohlsson 28 - 29. Clemens Werner 28 - 29.,Lightweight Bout,-,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",0,0,45,24,47,40,107,58,2,0,66,0,0,0,0,0,8:51,0:43,22,10,15,10,8,4,28,19,9,4,8,1,48,41,33,41,17,16,62,79,20,16,17,4,30 29 29,27 28 28
TAYLOR LAPILUS,VINCE MORALES,28/09/2024,Double Impact,Vandetta,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mongi Zitouni 27 - 30. Ben Cartlidge 27 - 30. David Lethaby 27 - 30.,Bantamweight Bout,-,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",0,0,94,39,46,27,99,49,0,2,0,33,0,0,0,0,0:10,3:02,63,25,24,10,7,4,80,34,14,5,0,0,67,64,25,25,7,10,85,87,14,12,0,0,30 30 30,27 27 27
AILIN PEREZ,DARIA ZHELEZNIAKOVA,28/09/2024,Fiona,Iron Lady,W,L,Submission,1,3:52,3 Rnd (5-5-5),Herb Dean,Arm Triangle From Half Guard,Women's Bantamweight Bout,-,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",0,0,7,5,58,41,22,12,2,1,50,100,1,0,0,0,1:42,0:39,5,4,0,1,2,0,3,4,1,0,3,1,71,80,0,20,28,0,42,80,14,0,42,20,- - -,- - -
BOLAJI OKI,CHRIS DUNCAN,28/09/2024,The Zulu Warrior,The Problem,L,W,Submission,1,3:34,3 Rnd (5-5-5),Loic Pora,Guillotine Choke From Guard,Lightweight Bout,perf,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",0,0,28,10,56,40,29,12,2,0,66,0,0,1,0,0,1:11,0:00,25,7,3,1,0,2,21,10,6,0,1,0,89,70,10,10,0,20,75,100,21,0,3,0,- - -,- - -
ALEXA GRASSO,VALENTINA SHEVCHENKO,14/09/2024,-,Bullet,L,W,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Mark Smith,Ben Cartlidge 45 - 50. Eric Colon 45 - 50. Ron McCarthy 45 - 50.,UFC Women's Flyweight Title Bout,belt,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",0,0,18,45,18,56,153,193,1,8,25,66,2,0,0,0,0:49,16:04,8,38,3,3,7,4,16,39,1,2,1,4,44,84,16,6,38,8,88,86,5,4,5,8,29 29 29,28 28 28
BRIAN ORTEGA,DIEGO LOPES,14/09/2024,T-City,-,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mike Bell 26 - 30. Sal D'amato 27 - 30. Junichiro Kamijo 27 - 30.,Featherweight Bout,-,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",0,0,63,106,32,51,69,113,0,1,0,100,0,0,0,0,0:06,2:45,52,75,4,13,7,18,61,75,1,6,1,25,82,70,6,12,11,16,96,70,1,5,1,23,26 27 27,30 30 30
RONALDO RODRIGUEZ,ODE OSBOURNE,14/09/2024,Lazy Boy,The Jamaican Sensation,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo 28 - 29. Adalaide Byrd 27 - 29. Ron McCarthy 27 - 29.,Flyweight Bout,-,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",0,1,35,37,50,54,68,55,1,1,50,33,0,2,1,1,9:14,1:07,29,28,1,4,5,5,10,22,0,0,25,15,82,75,2,10,14,13,28,59,0,0,71,40,29 29 29,27 28 27
EDGAR CHAIREZ,JOSHUA VAN,14/09/2024,Puro Chicali,The Fearless,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 28 - 29. Ben Cartlidge 28 - 29. Chris Lee 28 - 29.,Flyweight Bout,-,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",0,0,79,118,41,59,87,183,0,3,0,100,1,0,0,0,0:27,4:26,46,79,12,24,21,15,77,109,2,4,0,5,58,66,15,20,26,12,97,92,2,3,0,4,28 28 28,29 29 29
GILBERT BURNS,SEAN BRADY,07/09/2024,Durinho,-,L,W,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Chris Lee 45 - 50. Bryan Miner 45 - 50. David Lethaby 46 - 49.,Welterweight Bout,-,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",0,0,47,130,48,59,76,274,1,7,16,41,0,0,0,0,2:43,10:34,25,97,19,12,3,21,32,118,15,11,0,1,53,74,40,9,6,16,68,90,31,8,0,0,45 46 45,50 49 50
JESSICA ANDRADE,NATALIA SILVA,07/09/2024,Bate Estaca,-,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Adalaide Byrd 27 - 30. Junichiro Kamijo 27 - 30. Chris Lee 27 - 30.,Women's Flyweight Bout,fight,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",0,0,50,117,35,56,62,119,0,0,0,0,0,0,0,0,2:11,0:49,33,67,13,38,4,12,48,106,2,9,0,2,66,57,26,32,8,10,96,90,4,7,0,1,27 27 27,30 30 30
TREVOR PEEK,YANAL ASHMOUZ,07/09/2024,-,Red Fox,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Junichiro Kamijo 27 - 30. Chris Lee 28 - 29. David Lethaby 28 - 29.,Lightweight Bout,-,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",0,0,55,42,51,63,63,85,0,9,0,50,0,0,0,0,0:30,8:16,29,26,18,9,8,7,48,19,7,18,0,5,52,61,32,21,14,16,87,45,12,42,0,11,28 27 28,29 30 29
FELIPE DOS SANTOS,ANDRE LIMA,07/09/2024,Lipe Detona,Mascote,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Chris Lee 27 - 30. Junichiro Kamijo 28 - 29. Adalaide Byrd 28 - 29.,Flyweight Bout,-,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",0,0,38,18,50,48,69,43,0,2,0,100,0,2,0,0,0:41,9:00,14,5,14,6,10,7,33,14,5,4,0,0,36,27,36,33,26,38,86,77,13,22,0,0,28 28 27,29 29 30
YIZHA,GABRIEL SANTOS,07/09/2024,-,Mosquitinho,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Adalaide Byrd 26 - 30. David Lethaby 26 - 30. Bryan Miner 27 - 30.,Featherweight Bout,-,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",0,1,41,76,44,67,96,110,0,2,0,100,0,0,0,0,0:04,6:35,26,45,8,17,7,14,40,53,0,5,1,18,63,59,19,22,17,18,97,69,0,6,2,23,26 26 27,30 30 30
ANGELA HILL,TABATHA RICCI,24/08/2024,Overkill,Baby Shark,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29. Ben Cartlidge 28 - 29. Eric Colon 28 - 29.,Women's Strawweight Bout,-,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",0,0,112,101,51,42,140,140,0,3,0,75,0,0,0,0,0:10,5:04,66,82,43,8,3,11,88,88,19,10,5,3,58,81,38,7,2,10,78,87,16,9,4,2,28 28 28,29 29 29
ROBERT VALENTIN,RYAN LODER,24/08/2024,Robzilla,Man of Steel,L,W,KO/TKO,2,1:49,3 Rnd + OT (5-5-5-5),Mark Smith,Elbows to Head From Crucifix,Middleweight Bout,-,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",0,0,1,42,50,80,5,63,0,1,0,33,2,1,1,1,1:38,4:45,1,41,0,1,0,0,1,1,0,0,0,41,100,97,0,2,0,0,100,2,0,0,0,97,9 9 9,10 10 10
DENNIS BUZUKJA,FRANCIS MARSHALL,24/08/2024,The Great,Fire,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Keith Peterson,Ben Cartlidge 27 - 30. Adalaide Byrd 29 - 28. Junichiro Kamijo 28 - 29.,Lightweight Bout,-,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",0,1,66,57,45,38,76,82,0,1,0,16,0,0,0,0,0:08,5:26,46,53,14,2,6,2,65,53,1,3,0,1,69,92,21,3,9,3,98,92,1,5,0,1,29 27 28,28 30 29
ZACHARY REESE,JOSE DANIEL MEDINA,24/08/2024,Savage,Chicho,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Eric Colon 27 - 30. Ron McCarthy 27 - 30. Tony Weeks 27 - 30.,Middleweight Bout,-,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",0,0,75,32,58,43,101,53,5,1,55,50,1,0,1,0,5:57,1:12,42,20,20,5,13,7,57,30,2,1,16,1,56,62,26,15,17,21,76,93,2,3,21,3,30 30 30,27 27 27
DRICUS DU PLESSIS,ISRAEL ADESANYA,17/08/2024,Stillknocks,The Last Stylebender,W,L,Submission,4,3:38,5 Rnd (5-5-5-5-5),Marc Goddard,Rear Naked Choke,UFC Middleweight Title Bout,belt,UFC 305: Du Plessis vs. Adesanya,"Perth, Western Australia, Australia",0,0,90,97,45,47,99,105,4,0,44,0,2,0,0,1,3:39,0:09,61,63,7,26,22,8,80,92,8,4,2,1,67,64,7,26,24,8,88,94,8,4,2,1,,
CASEY O'NEILL,LUANA SANTOS,17/08/2024,King,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Charlie Keech 27 - 30. David Lethaby 27 - 30. Evan Field 26 - 30.,Women's Flyweight Bout,-,UFC 305: Du Plessis vs. Adesanya,"Perth, Western Australia, Australia",0,0,83,41,43,42,113,46,0,1,0,20,1,0,0,0,2:21,2:21,60,26,12,10,11,5,69,41,5,0,9,0,72,63,14,24,13,12,83,100,6,0,10,0,,
SONG KENAN,RICKY GLENN,17/08/2024,The Assassin,The Gladiator,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jim Perdios,Evan Field 27 - 30. Mark Christie 26 - 30. Howie Booth 28 - 29.,Welterweight Bout,-,UFC 305: Du Plessis vs. Adesanya,"Perth, Western Australia, Australia",0,0,87,40,51,40,113,67,1,2,20,13,0,0,0,0,0:48,3:32,65,15,19,11,3,14,66,33,21,7,0,0,74,37,21,27,3,35,75,82,24,17,0,0,,
DAMON JACKSON,CHEPE MARISCAL,10/08/2024,The Leech,Machine Gun,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Sal D'amato 25 - 30. Junichiro Kamijo 25 - 30. Mike Bell 26 - 30.,Featherweight Bout,-,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",0,0,32,73,65,73,49,218,1,5,20,71,0,0,1,2,4:18,8:31,5,59,26,13,1,1,5,8,27,17,0,48,15,80,81,17,3,1,15,10,84,23,0,65,26 25 25,30 30 30
DANNY BARLOW,NIKOLAY VERETENNIKOV,10/08/2024,LeftHand2God,-,W,L,Decision - Split,3,5:00,3 Rnd (5-5-5),Mike Beltran,Ron McCarthy 28 - 29. Jerin Valel 30 - 27. Bryan Miner 28 - 29.,Welterweight Bout,-,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",0,0,47,50,47,54,52,59,0,0,0,0,0,0,0,0,1:16,0:09,25,23,7,22,15,5,46,45,1,5,0,0,53,46,14,44,31,10,97,90,2,10,0,0,29 27 29,28 30 28
CORY SANDHAGEN,UMAR NURMAGOMEDOV,03/08/2024,-,-,L,W,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell 45 - 50. Ben Cartlidge 46 - 49. David Lethaby 46 - 49.,Bantamweight Bout,-,UFC Fight Night: Sandhagen vs. Nurmagomedov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,71,98,44,52,80,123,0,5,0,38,0,0,0,0,0:12,5:11,26,48,18,27,27,23,71,96,0,2,0,0,36,48,25,27,38,23,100,97,0,2,0,0,45 46 46,50 49 49
MACKENZIE DERN,LOOPY GODINEZ,03/08/2024,-,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Greg Kleynjans,Hadi Mohamed Ali 28 - 29. Howard Hughes 28 - 29. Clemens Werner 28 - 29.,Women's Strawweight Bout,-,UFC Fight Night: Sandhagen vs. Nurmagomedov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",0,0,72,67,35,45,103,72,2,2,40,66,0,1,0,1,2:45,1:41,61,45,5,16,6,6,66,58,6,9,0,0,84,67,6,23,8,8,91,86,8,13,0,0,29 29 29,28 28 28
