winner,ref,diff_TD,diff_sub_att,diff_sig_str_leg_pct,diff_sig_str_head_pct,diff_total_str,diff_sig_str_distance_pct,diff_sig_str_body,diff_sig_str_pct,diff_KD,diff_sig_str_distance,diff_sig_str_ground,diff_sig_str_body_pct,diff_sig_str_clinch,diff_sig_str,diff_sig_str_head,diff_TD_pct,diff_sig_str_clinch_pct,diff_sig_str_leg,diff_sig_str_ground_pct
L,Mark Smith,-3.0,1.0,14.0,-8.0,-96.0,5.0,-12.0,-18.0,0.0,-32.0,-5.0,-5.0,-2.0,-39.0,-33.0,-100.0,-1.0,6.0,-4.0
L,Herb Dean,-6.0,0.0,-10.0,-21.0,-198.0,-22.0,7.0,-11.0,0.0,-86.0,-1.0,31.0,4.0,-83.0,-72.0,-25.0,23.0,-18.0,0.0
L,Kerry Hatley,0.0,0.0,-2.0,9.0,-57.0,6.0,-25.0,-21.0,0.0,-58.0,-2.0,-6.0,-7.0,-67.0,-34.0,0.0,-3.0,-8.0,-1.0
L,Herb Dean,-9.0,0.0,-2.0,-9.0,-22.0,42.0,9.0,-12.0,0.0,29.0,-5.0,11.0,-11.0,13.0,3.0,-50.0,-30.0,1.0,-11.0
L,Chris Tognoni,-2.0,-2.0,-12.0,9.0,26.0,9.0,8.0,2.0,0.0,19.0,0.0,3.0,1.0,20.0,9.0,-100.0,-9.0,3.0,0.0
L,Kerry Hatley,-2.0,0.0,-1.0,4.0,-14.0,28.0,-9.0,-23.0,-1.0,-13.0,-17.0,-3.0,-5.0,-35.0,-19.0,-100.0,-6.0,-7.0,-21.0
L,Keith Peterson,-3.0,0.0,-8.0,-23.0,0.0,-9.0,35.0,9.0,0.0,0.0,2.0,31.0,9.0,11.0,-16.0,-75.0,7.0,-8.0,2.0
L,Mark Smith,-1.0,1.0,0.0,3.0,-58.0,98.0,-1.0,-30.0,0.0,0.0,-41.0,-2.0,0.0,-41.0,-40.0,-33.0,0.0,0.0,-97.0
L,Keith Peterson,-1.0,0.0,6.0,-23.0,-6.0,6.0,12.0,7.0,-1.0,12.0,-1.0,18.0,-2.0,9.0,-7.0,-16.0,-4.0,4.0,-1.0
W,Dan Miragliotta,4.0,1.0,-4.0,-6.0,48.0,-17.0,15.0,15.0,0.0,27.0,15.0,11.0,1.0,43.0,22.0,5.0,-1.0,6.0,18.0
W,Marc Goddard,4.0,2.0,16.0,3.0,-6.0,-6.0,-19.0,-2.0,0.0,-12.0,1.0,-19.0,4.0,-7.0,-2.0,44.0,4.0,14.0,1.0
W,Rich Mitchell,-1.0,1.0,1.0,9.0,67.0,-17.0,2.0,1.0,0.0,28.0,9.0,-10.0,5.0,42.0,34.0,-20.0,6.0,6.0,10.0
W,Jim Perdios,-1.0,0.0,-32.0,37.0,46.0,-7.0,8.0,11.0,0.0,33.0,0.0,-6.0,14.0,47.0,50.0,7.0,7.0,-11.0,0.0
L,Jason Herzog,-4.0,0.0,2.0,-65.0,-169.0,5.0,13.0,-8.0,0.0,-3.0,-48.0,64.0,10.0,-41.0,-54.0,-51.0,61.0,0.0,-65.0
W,Mike Beltran,0.0,0.0,21.0,7.0,-7.0,7.0,-15.0,-7.0,0.0,1.0,0.0,-30.0,-4.0,-3.0,2.0,0.0,-8.0,10.0,0.0
L,Marc Goddard,-5.0,0.0,15.0,-12.0,-43.0,3.0,-9.0,-8.0,0.0,-25.0,0.0,-2.0,-2.0,-27.0,-22.0,-38.0,-2.0,4.0,0.0
W,Greg Kleynjans,0.0,-1.0,0.0,17.0,31.0,5.0,-11.0,-10.0,0.0,8.0,0.0,-17.0,-3.0,5.0,16.0,-26.0,-5.0,0.0,0.0
W,Lukasz Bosacki,0.0,1.0,-42.0,33.0,69.0,-26.0,17.0,21.0,1.0,26.0,0.0,10.0,24.0,50.0,50.0,0.0,25.0,-17.0,0.0
W,Keith Peterson,2.0,0.0,-11.0,4.0,32.0,-54.0,3.0,21.0,0.0,-13.0,4.0,7.0,13.0,4.0,4.0,66.0,41.0,-3.0,12.0
W,Greg Kleynjans,1.0,0.0,11.0,-24.0,6.0,-20.0,3.0,4.0,-1.0,-9.0,1.0,14.0,4.0,-4.0,-10.0,25.0,16.0,3.0,5.0
W,Lukasz Bosacki,2.0,0.0,-32.0,14.0,18.0,1.0,17.0,13.0,1.0,15.0,0.0,18.0,0.0,15.0,18.0,66.0,-1.0,-20.0,0.0
W,Keith Peterson,0.0,0.0,13.0,19.0,-88.0,-11.0,-4.0,18.0,0.0,16.0,8.0,-32.0,-1.0,23.0,18.0,-30.0,-5.0,9.0,16.0
L,Mike Beltran,-7.0,0.0,6.0,-18.0,-103.0,-17.0,3.0,10.0,0.0,-27.0,0.0,12.0,6.0,-21.0,-27.0,31.0,12.0,3.0,4.0
L,Daniel Movahedi,-1.0,0.0,2.0,14.0,-6.0,15.0,-11.0,-2.0,0.0,-4.0,-2.0,-16.0,-6.0,-12.0,-1.0,-72.0,-12.0,0.0,-3.0
W,Lukasz Bosacki,-1.0,0.0,18.0,-7.0,39.0,0.0,-5.0,16.0,0.0,14.0,-1.0,-11.0,2.0,15.0,2.0,-12.0,2.0,18.0,-1.0
W,Mike Beltran,3.0,0.0,20.0,-44.0,13.0,-10.0,9.0,-5.0,0.0,7.0,1.0,23.0,2.0,10.0,-5.0,37.0,6.0,6.0,3.0
W,Daniel Movahedi,0.0,0.0,-38.0,40.0,-22.0,7.0,0.0,-3.0,0.0,10.0,0.0,-2.0,-2.0,8.0,21.0,39.0,-7.0,-13.0,0.0
W,Mike Beltran,-2.0,0.0,6.0,-16.0,71.0,7.0,12.0,-9.0,0.0,23.0,-4.0,11.0,1.0,20.0,2.0,-50.0,0.0,6.0,-7.0
W,Kerry Hatley,-2.0,-2.0,8.0,-5.0,56.0,21.0,-2.0,-4.0,0.0,21.0,-8.0,-3.0,-10.0,3.0,-3.0,-75.0,-12.0,8.0,-8.0
L,Chris Tognoni,1.0,3.0,-1.0,-2.0,-14.0,39.0,-1.0,-13.0,-1.0,3.0,-17.0,3.0,0.0,-14.0,-11.0,100.0,1.0,-2.0,-40.0
W,Herb Dean,0.0,3.0,-3.0,7.0,-6.0,-2.0,0.0,26.0,0.0,3.0,0.0,-3.0,1.0,4.0,4.0,0.0,3.0,0.0,-1.0
W,Chris Tognoni,1.0,-1.0,42.0,-60.0,55.0,-14.0,6.0,-6.0,0.0,4.0,5.0,19.0,0.0,9.0,-10.0,-10.0,-3.0,13.0,16.0
W,Mark Smith,-2.0,0.0,23.0,-11.0,52.0,15.0,7.0,19.0,0.0,46.0,0.0,-13.0,5.0,51.0,20.0,-50.0,-15.0,24.0,0.0
L,Kerry Hatley,-2.0,0.0,-6.0,-7.0,-35.0,2.0,6.0,-21.0,0.0,-11.0,-1.0,13.0,-1.0,-13.0,-14.0,-40.0,0.0,-5.0,-1.0
