winner,ref,diff_TD,diff_sub_att,diff_sig_str_leg_pct,diff_sig_str_head_pct,diff_total_str,diff_sig_str_distance_pct,diff_sig_str_body,diff_sig_str_pct,diff_KD,diff_sig_str_distance,diff_sig_str_ground,diff_sig_str_body_pct,diff_sig_str_clinch,diff_sig_str,diff_sig_str_head,diff_TD_pct,diff_sig_str_clinch_pct,diff_sig_str_leg,diff_sig_str_ground_pct
W,Herb Dean,1.0,-1.0,-12.0,30.0,11.0,-55.0,-3.0,-7.0,0.0,-13.0,19.0,-19.0,-2.0,4.0,10.0,50.0,-11.0,-3.0,65.0
W,Marc Goddard,4.0,0.0,2.0,-1.0,-46.0,-2.0,-1.0,31.0,0.0,-2.0,5.0,-1.0,-5.0,-2.0,-1.0,66.0,-16.0,0.0,17.0
W,Keith Peterson,2.0,0.0,-2.0,-20.0,-21.0,1.0,24.0,15.0,0.0,-7.0,1.0,23.0,-3.0,-9.0,-29.0,8.0,-2.0,-4.0,1.0
L,Lukasz Bosacki,-1.0,0.0,26.0,-17.0,-40.0,9.0,-11.0,-33.0,0.0,-27.0,-1.0,-9.0,-8.0,-36.0,-24.0,-100.0,-7.0,-1.0,-1.0
W,Herb Dean,0.0,0.0,-1.0,-13.0,313.0,2.0,101.0,12.0,0.0,310.0,0.0,14.0,2.0,312.0,175.0,0.0,-2.0,36.0,0.0
W,Marc Goddard,1.0,0.0,-2.0,30.0,120.0,17.0,-7.0,-31.0,0.0,11.0,3.0,-29.0,-3.0,11.0,17.0,34.0,-16.0,1.0,-2.0
L,Jason Herzog,1.0,-1.0,-6.0,8.0,-41.0,6.0,-9.0,-5.0,0.0,-21.0,-9.0,-2.0,0.0,-30.0,-10.0,50.0,3.0,-11.0,-9.0
W,Herb Dean,0.0,0.0,-15.0,1.0,-32.0,-3.0,8.0,-4.0,0.0,-10.0,0.0,13.0,1.0,-9.0,-4.0,0.0,3.0,-13.0,0.0
L,Jason Herzog,-3.0,0.0,24.0,-13.0,13.0,1.0,-7.0,-14.0,0.0,-6.0,-4.0,-11.0,1.0,-9.0,-12.0,56.0,7.0,10.0,-7.0
L,Marc Goddard,0.0,1.0,10.0,-12.0,-32.0,-4.0,-2.0,-21.0,-1.0,-33.0,1.0,2.0,1.0,-31.0,-34.0,-45.0,2.0,5.0,1.0
W,Dan Miragliotta,0.0,0.0,-45.0,21.0,-32.0,8.0,10.0,6.0,0.0,2.0,0.0,24.0,-4.0,-2.0,9.0,0.0,-8.0,-21.0,0.0
W,Marc Goddard,-1.0,0.0,17.0,-18.0,30.0,13.0,5.0,23.0,0.0,22.0,-4.0,3.0,1.0,19.0,4.0,-20.0,2.0,10.0,-14.0
L,Mark Smith,2.0,0.0,-12.0,26.0,-62.0,7.0,-17.0,-17.0,0.0,-27.0,6.0,-13.0,-22.0,-43.0,-14.0,50.0,-20.0,-12.0,13.0
L,Mark Smith,-1.0,0.0,0.0,0.0,-30.0,30.0,-2.0,-8.0,0.0,0.0,-17.0,0.0,-1.0,-18.0,-14.0,-100.0,-3.0,-2.0,-26.0
W,Chris Tognoni,-1.0,0.0,-10.0,-12.0,119.0,-48.0,41.0,15.0,1.0,20.0,4.0,20.0,56.0,80.0,42.0,-25.0,45.0,-3.0,3.0
W,Jerin Valel,-2.0,1.0,29.0,-14.0,-23.0,20.0,-3.0,-23.0,0.0,-11.0,-2.0,-14.0,-2.0,-15.0,-13.0,-100.0,-9.0,1.0,-9.0
W,Jason Herzog,-1.0,0.0,7.0,-4.0,21.0,7.0,1.0,0.0,0.0,19.0,1.0,-4.0,-1.0,19.0,11.0,-100.0,-8.0,7.0,0.0
W,Mark Smith,0.0,-1.0,-34.0,34.0,11.0,-10.0,4.0,23.0,2.0,18.0,6.0,1.0,1.0,25.0,26.0,50.0,-3.0,-5.0,13.0
L,Chris Tognoni,0.0,0.0,-20.0,33.0,-6.0,-2.0,-4.0,-20.0,-1.0,-6.0,-1.0,-13.0,1.0,-6.0,3.0,0.0,6.0,-5.0,-4.0
W,Jerin Valel,7.0,0.0,-1.0,11.0,-13.0,1.0,-2.0,16.0,0.0,16.0,3.0,-10.0,3.0,22.0,23.0,53.0,-4.0,1.0,2.0
W,Jason Herzog,1.0,0.0,-22.0,6.0,26.0,1.0,11.0,13.0,0.0,31.0,0.0,15.0,1.0,32.0,18.0,100.0,-2.0,3.0,0.0
L,Herb Dean,2.0,-1.0,13.0,-17.0,-63.0,1.0,0.0,-14.0,-1.0,-38.0,-8.0,4.0,4.0,-42.0,-57.0,28.0,3.0,15.0,-4.0
W,Herb Dean,2.0,3.0,-22.0,9.0,70.0,-4.0,10.0,13.0,0.0,19.0,3.0,12.0,0.0,22.0,16.0,-40.0,-2.0,-4.0,5.0
W,Jason Herzog,1.0,0.0,-31.0,29.0,17.0,-29.0,6.0,10.0,0.0,-3.0,10.0,3.0,9.0,16.0,22.0,9.0,13.0,-12.0,16.0
L,Herb Dean,3.0,1.0,15.0,-2.0,-90.0,22.0,-15.0,-30.0,0.0,-23.0,-11.0,-12.0,-13.0,-47.0,-30.0,-3.0,-16.0,-2.0,-7.0
L,Jason Herzog,-2.0,0.0,22.0,-54.0,-62.0,13.0,9.0,-33.0,-1.0,-34.0,-14.0,32.0,-4.0,-52.0,-66.0,-50.0,2.0,5.0,-14.0
W,Dan Miragliotta,4.0,0.0,-5.0,24.0,65.0,-41.0,-8.0,-5.0,0.0,-17.0,17.0,-19.0,4.0,4.0,14.0,38.0,7.0,-2.0,33.0
L,Herb Dean,0.0,-1.0,-3.0,-12.0,-6.0,28.0,1.0,20.0,0.0,1.0,-3.0,15.0,0.0,-2.0,-2.0,84.0,0.0,-1.0,-27.0
W,Mark Smith,7.0,1.0,12.0,13.0,57.0,-26.0,-6.0,1.0,1.0,7.0,18.0,-26.0,6.0,31.0,28.0,58.0,1.0,9.0,25.0
L,Jason Herzog,-1.0,-1.0,8.0,-9.0,25.0,1.0,3.0,2.0,-1.0,19.0,-2.0,0.0,5.0,22.0,13.0,-50.0,5.0,6.0,-6.0
W,Herb Dean,4.0,0.0,-7.0,13.0,155.0,17.0,3.0,12.0,0.0,27.0,0.0,-7.0,-1.0,26.0,24.0,33.0,-14.0,-1.0,-2.0
L,Marc Goddard,1.0,2.0,6.0,1.0,-74.0,2.0,-18.0,-27.0,0.0,-59.0,-1.0,-8.0,-4.0,-64.0,-42.0,20.0,-1.0,-4.0,0.0
W,Mark Smith,-1.0,0.0,-2.0,14.0,9.0,0.0,-6.0,0.0,0.0,9.0,0.0,-13.0,0.0,9.0,14.0,-25.0,0.0,1.0,0.0
W,Herb Dean,0.0,0.0,-5.0,45.0,23.0,-12.0,0.0,15.0,2.0,17.0,7.0,-39.0,1.0,25.0,26.0,0.0,-5.0,-1.0,16.0
W,Chris Tognoni,1.0,0.0,-13.0,36.0,69.0,-66.0,-1.0,11.0,0.0,-5.0,26.0,-23.0,3.0,24.0,25.0,33.0,-1.0,0.0,66.0
L,Mark Smith,0.0,0.0,-14.0,5.0,47.0,-3.0,12.0,7.0,0.0,31.0,0.0,8.0,2.0,33.0,20.0,0.0,2.0,1.0,0.0
W,Chris Tognoni,-1.0,2.0,7.0,-10.0,68.0,-1.0,18.0,3.0,0.0,60.0,0.0,2.0,8.0,68.0,37.0,-100.0,0.0,13.0,0.0
W,Mark Smith,2.0,1.0,-30.0,44.0,18.0,3.0,-1.0,2.0,0.0,20.0,11.0,-15.0,1.0,32.0,42.0,28.0,-19.0,-9.0,15.0
L,Chris Tognoni,0.0,0.0,11.0,-4.0,-45.0,-7.0,-12.0,-4.0,1.0,-24.0,7.0,-7.0,-9.0,-26.0,-24.0,-89.0,-4.0,10.0,11.0
L,Herb Dean,-5.0,0.0,10.0,8.0,-21.0,11.0,-15.0,-5.0,0.0,15.0,-4.0,-18.0,-5.0,6.0,11.0,23.0,-7.0,10.0,-4.0
L,Jason Herzog,2.0,2.0,6.0,-28.0,-69.0,-5.0,15.0,19.0,0.0,5.0,-1.0,22.0,6.0,10.0,-9.0,40.0,8.0,4.0,-3.0
L,Chris Tognoni,-6.0,0.0,-13.0,5.0,22.0,35.0,8.0,11.0,0.0,42.0,-14.0,7.0,-1.0,27.0,24.0,-16.0,-5.0,-5.0,-31.0
W,Jason Herzog,3.0,0.0,0.0,17.0,75.0,-12.0,-15.0,1.0,0.0,28.0,8.0,-18.0,16.0,52.0,65.0,100.0,8.0,2.0,5.0
W,Chris Tognoni,0.0,0.0,-12.0,6.0,-16.0,-2.0,4.0,-9.0,0.0,0.0,0.0,6.0,1.0,1.0,4.0,0.0,2.0,-7.0,0.0
W,Jason Herzog,2.0,1.0,7.0,-11.0,61.0,-10.0,12.0,33.0,0.0,59.0,5.0,4.0,7.0,71.0,45.0,50.0,5.0,14.0,4.0
W,Herb Dean,0.0,0.0,0.0,-25.0,4.0,0.0,2.0,0.0,1.0,3.0,4.0,25.0,-1.0,6.0,4.0,0.0,-50.0,0.0,50.0
W,Mark Smith,1.0,0.0,-14.0,32.0,-9.0,9.0,-4.0,30.0,2.0,13.0,1.0,-18.0,-2.0,12.0,19.0,50.0,-12.0,-3.0,2.0
L,Keith Peterson,0.0,-1.0,10.0,-35.0,51.0,-4.0,26.0,13.0,0.0,40.0,0.0,25.0,3.0,43.0,0.0,0.0,3.0,17.0,0.0
W,Chris Tognoni,0.0,0.0,6.0,12.0,18.0,2.0,-5.0,21.0,1.0,15.0,0.0,-18.0,0.0,15.0,16.0,0.0,-2.0,4.0,0.0
W,Lukasz Bosacki,1.0,1.0,-39.0,42.0,5.0,-46.0,-1.0,-5.0,0.0,-11.0,2.0,-3.0,8.0,-1.0,9.0,100.0,36.0,-9.0,9.0
L,Anders Ohlsson,-2.0,0.0,22.0,-9.0,13.0,3.0,-16.0,-7.0,0.0,16.0,-1.0,-14.0,-2.0,13.0,-4.0,-33.0,-2.0,33.0,0.0
L,Lukasz Bosacki,0.0,-1.0,10.0,-13.0,-16.0,-32.0,-1.0,-2.0,0.0,-6.0,0.0,3.0,2.0,-4.0,-3.0,0.0,32.0,0.0,0.0
L,Lukasz Bosacki,2.0,0.0,32.0,-31.0,-30.0,0.0,-7.0,-30.0,0.0,-30.0,0.0,-2.0,0.0,-30.0,-43.0,16.0,0.0,20.0,0.0
L,Lukasz Bosacki,5.0,0.0,-28.0,48.0,26.0,-23.0,-6.0,-2.0,-1.0,2.0,9.0,-21.0,4.0,15.0,30.0,31.0,7.0,-9.0,16.0
L,Lukasz Bosacki,4.0,0.0,36.0,-37.0,-25.0,16.0,-2.0,-25.0,0.0,-17.0,-6.0,2.0,-4.0,-27.0,-27.0,25.0,-2.0,2.0,-12.0
L,Anders Ohlsson,0.0,0.0,2.0,-17.0,-35.0,2.0,-2.0,8.0,0.0,-14.0,-8.0,16.0,0.0,-22.0,-15.0,-80.0,17.0,-5.0,-18.0
L,Kevin Sataki,-5.0,-4.0,17.0,5.0,10.0,-4.0,-2.0,-7.0,0.0,3.0,0.0,-23.0,1.0,4.0,3.0,-55.0,4.0,3.0,0.0
W,Kevin Sataki,2.0,0.0,-10.0,-5.0,39.0,-35.0,3.0,16.0,0.0,1.0,11.0,15.0,-2.0,10.0,5.0,44.0,-20.0,2.0,55.0
L,Lukasz Bosacki,-1.0,0.0,26.0,-40.0,-10.0,-12.0,7.0,4.0,0.0,-5.0,0.0,15.0,6.0,1.0,-18.0,5.0,12.0,12.0,0.0
L,Kevin Sataki,-1.0,-4.0,-4.0,10.0,-19.0,6.0,-9.0,-31.0,0.0,-25.0,-8.0,-6.0,-5.0,-38.0,-25.0,-12.0,6.0,-4.0,-11.0
W,Marc Goddard,-1.0,0.0,19.0,-47.0,46.0,2.0,31.0,16.0,0.0,29.0,0.0,28.0,25.0,54.0,6.0,-25.0,-3.0,17.0,0.0
W,Jason Herzog,2.0,0.0,-18.0,46.0,21.0,3.0,-19.0,-7.0,0.0,1.0,-2.0,-27.0,0.0,-1.0,31.0,40.0,0.0,-13.0,-2.0
W,Lukasz Bosacki,-2.0,-1.0,-6.0,6.0,16.0,1.0,3.0,-8.0,0.0,12.0,0.0,1.0,1.0,13.0,12.0,-17.0,0.0,-2.0,0.0
L,Jason Herzog,-1.0,0.0,36.0,-47.0,-55.0,34.0,1.0,-18.0,-1.0,-19.0,-27.0,12.0,-1.0,-47.0,-57.0,-50.0,-1.0,9.0,-32.0
W,Lukasz Bosacki,3.0,1.0,10.0,29.0,-1.0,-26.0,-5.0,14.0,0.0,1.0,19.0,-40.0,1.0,21.0,21.0,55.0,-24.0,5.0,50.0
W,Dan Miragliotta,2.0,0.0,-3.0,19.0,165.0,-21.0,7.0,14.0,0.0,17.0,16.0,-16.0,11.0,44.0,33.0,-63.0,1.0,4.0,20.0
W,Mark Smith,-3.0,0.0,-29.0,27.0,66.0,26.0,3.0,6.0,0.0,29.0,-17.0,2.0,5.0,17.0,28.0,-37.0,4.0,-14.0,-30.0
L,Jason Herzog,0.0,0.0,-4.0,-12.0,-19.0,5.0,6.0,-16.0,0.0,-14.0,0.0,17.0,-4.0,-18.0,-14.0,0.0,-4.0,-10.0,0.0
W,Chris Tognoni,-1.0,0.0,-49.0,61.0,98.0,-81.0,6.0,31.0,0.0,3.0,36.0,-14.0,25.0,64.0,63.0,82.0,32.0,-5.0,47.0
W,Mark Smith,1.0,0.0,-21.0,42.0,11.0,4.0,-21.0,-16.0,0.0,-32.0,0.0,-20.0,-5.0,-37.0,6.0,-18.0,-5.0,-22.0,2.0
W,Chris Tognoni,2.0,1.0,6.0,-12.0,-63.0,9.0,-14.0,-17.0,-2.0,-15.0,-7.0,7.0,-27.0,-49.0,-28.0,50.0,-1.0,-7.0,-7.0
W,Herb Dean,3.0,0.0,-18.0,25.0,71.0,-37.0,11.0,37.0,0.0,17.0,8.0,-7.0,17.0,42.0,33.0,50.0,27.0,-2.0,9.0
W,Marc Goddard,2.0,0.0,10.0,-6.0,50.0,11.0,2.0,3.0,1.0,26.0,-3.0,-5.0,0.0,23.0,12.0,33.0,-5.0,9.0,-5.0
L,Mark Smith,-2.0,-3.0,11.0,-10.0,-41.0,47.0,-3.0,-10.0,0.0,7.0,-27.0,-2.0,1.0,-19.0,-20.0,58.0,2.0,4.0,-50.0
L,Herb Dean,0.0,-1.0,34.0,-33.0,-10.0,14.0,-3.0,27.0,-2.0,1.0,-11.0,0.0,0.0,-10.0,-25.0,-84.0,1.0,18.0,-16.0
W,Chris Tognoni,-5.0,2.0,6.0,5.0,121.0,11.0,0.0,8.0,0.0,21.0,-1.0,-12.0,7.0,27.0,23.0,-20.0,-2.0,4.0,-9.0
W,Jason Herzog,-1.0,0.0,-3.0,2.0,3.0,8.0,0.0,19.0,0.0,4.0,0.0,0.0,-7.0,-3.0,0.0,-16.0,-8.0,-3.0,0.0
L,Mark Smith,-3.0,3.0,3.0,-18.0,-6.0,7.0,3.0,-37.0,-1.0,-4.0,-7.0,14.0,0.0,-11.0,-13.0,-22.0,5.0,-1.0,-11.0
L,Jason Herzog,-4.0,0.0,7.0,11.0,-75.0,-5.0,-17.0,-13.0,0.0,-24.0,-2.0,-18.0,-10.0,-36.0,-18.0,-57.0,-2.0,-1.0,8.0
W,Mark Smith,4.0,0.0,8.0,-3.0,-18.0,-20.0,-2.0,14.0,0.0,-9.0,26.0,-5.0,-2.0,15.0,7.0,-55.0,-4.0,10.0,24.0
W,Jason Herzog,0.0,1.0,-17.0,16.0,13.0,-34.0,0.0,42.0,0.0,4.0,3.0,0.0,0.0,7.0,5.0,0.0,0.0,2.0,33.0
L,Mark Smith,0.0,0.0,-4.0,6.0,15.0,20.0,-1.0,-19.0,0.0,4.0,-5.0,-2.0,-1.0,-2.0,0.0,0.0,-3.0,-1.0,-17.0
W,Jason Herzog,2.0,0.0,-9.0,9.0,-36.0,-2.0,9.0,4.0,1.0,14.0,8.0,1.0,4.0,26.0,21.0,100.0,-8.0,-4.0,9.0
L,Mark Smith,-2.0,-1.0,-9.0,13.0,-33.0,8.0,-8.0,-8.0,-1.0,-31.0,-4.0,-3.0,-6.0,-41.0,-18.0,-100.0,-4.0,-15.0,-3.0
W,Marc Goddard,-1.0,0.0,-8.0,-8.0,26.0,-3.0,20.0,4.0,1.0,6.0,0.0,16.0,4.0,10.0,-3.0,-50.0,3.0,-7.0,0.0
L,Mark Smith,2.0,0.0,15.0,-27.0,-138.0,36.0,-2.0,-31.0,0.0,-3.0,-44.0,13.0,0.0,-47.0,-44.0,25.0,9.0,-1.0,-44.0
L,Herb Dean,-1.0,2.0,14.0,-23.0,-58.0,14.0,-6.0,-17.0,0.0,-8.0,-14.0,9.0,-5.0,-27.0,-21.0,40.0,7.0,0.0,-20.0
L,Dan Miragliotta,-4.0,0.0,-23.0,12.0,7.0,7.0,4.0,-14.0,0.0,-2.0,-9.0,11.0,5.0,-6.0,2.0,-100.0,11.0,-12.0,-18.0
L,Mark Smith,-1.0,0.0,-41.0,39.0,19.0,22.0,-2.0,-37.0,0.0,-4.0,-5.0,1.0,-5.0,-14.0,8.0,-25.0,-10.0,-20.0,-10.0
W,Chris Tognoni,5.0,0.0,-14.0,-13.0,-47.0,12.0,29.0,11.0,0.0,14.0,2.0,26.0,-16.0,0.0,-14.0,100.0,-14.0,-15.0,1.0
W,Herb Dean,0.0,-2.0,0.0,47.0,32.0,-36.0,0.0,50.0,1.0,4.0,29.0,-48.0,0.0,33.0,33.0,0.0,0.0,0.0,35.0
L,Jason Herzog,-1.0,0.0,3.0,-11.0,-7.0,5.0,3.0,-15.0,0.0,4.0,-7.0,8.0,7.0,4.0,0.0,19.0,21.0,1.0,-25.0
L,Chris Tognoni,1.0,-1.0,-7.0,-11.0,0.0,0.0,2.0,4.0,0.0,-1.0,0.0,18.0,0.0,-1.0,-2.0,100.0,0.0,-1.0,0.0
W,Mark Smith,1.0,0.0,6.0,-37.0,179.0,-65.0,19.0,52.0,0.0,3.0,6.0,30.0,28.0,37.0,15.0,50.0,51.0,3.0,13.0
W,Herb Dean,0.0,0.0,-14.0,39.0,25.0,-9.0,0.0,6.0,1.0,24.0,0.0,-25.0,3.0,27.0,26.0,0.0,8.0,1.0,0.0
W,Jason Herzog,2.0,0.0,1.0,-2.0,45.0,-27.0,4.0,13.0,1.0,-9.0,2.0,1.0,21.0,14.0,8.0,33.0,24.0,2.0,2.0
W,Herb Dean,0.0,0.0,-16.0,6.0,14.0,-8.0,3.0,9.0,1.0,5.0,2.0,10.0,0.0,7.0,7.0,0.0,0.0,-3.0,7.0
W,Jason Herzog,1.0,3.0,3.0,-3.0,46.0,23.0,12.0,1.0,-1.0,55.0,-8.0,0.0,-1.0,46.0,31.0,50.0,-3.0,3.0,-19.0
W,Mark Smith,3.0,3.0,10.0,18.0,14.0,10.0,-3.0,18.0,1.0,26.0,12.0,-28.0,-7.0,31.0,27.0,60.0,-33.0,7.0,22.0
W,Chris Tognoni,0.0,-1.0,-18.0,20.0,-9.0,-4.0,-2.0,8.0,0.0,-8.0,3.0,-2.0,-3.0,-8.0,2.0,18.0,-5.0,-8.0,8.0
L,Herb Dean,-2.0,0.0,-12.0,-1.0,-72.0,6.0,-4.0,-16.0,-1.0,-44.0,-15.0,12.0,-2.0,-61.0,-36.0,-50.0,7.0,-21.0,-13.0
L,Chris Tognoni,0.0,0.0,45.0,-30.0,-36.0,4.0,-20.0,-5.0,-3.0,-27.0,-19.0,-15.0,6.0,-40.0,-36.0,-75.0,20.0,16.0,-24.0
L,Mark Smith,1.0,1.0,12.0,-6.0,-29.0,-1.0,13.0,20.0,0.0,9.0,13.0,-6.0,6.0,28.0,9.0,-88.0,-26.0,6.0,26.0
W,Jason Herzog,5.0,0.0,-3.0,-20.0,-8.0,-6.0,27.0,2.0,0.0,16.0,-1.0,22.0,12.0,27.0,0.0,71.0,8.0,0.0,-2.0
W,Daniel Movahedi,3.0,2.0,-40.0,32.0,26.0,-25.0,2.0,2.0,0.0,-8.0,1.0,7.0,6.0,-1.0,9.0,-67.0,21.0,-12.0,4.0
W,Marc Goddard,1.0,0.0,19.0,-18.0,70.0,-3.0,8.0,14.0,0.0,70.0,0.0,0.0,6.0,76.0,24.0,33.0,3.0,44.0,0.0
W,Herb Dean,-1.0,1.0,100.0,0.0,1.0,100.0,0.0,50.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,-100.0,0.0,2.0,0.0
L,Rich Mitchell,-1.0,0.0,5.0,10.0,-9.0,12.0,-14.0,-17.0,0.0,-1.0,-2.0,-15.0,-7.0,-10.0,3.0,-50.0,-9.0,1.0,-2.0
L,Marc Goddard,-1.0,0.0,-12.0,-22.0,-4.0,11.0,11.0,-14.0,0.0,-4.0,-1.0,35.0,-4.0,-9.0,-14.0,37.0,-9.0,-6.0,-1.0
W,Daniel Movahedi,6.0,1.0,11.0,-6.0,-50.0,-17.0,-4.0,-2.0,-1.0,-10.0,-6.0,-5.0,1.0,-15.0,-11.0,-24.0,35.0,0.0,-17.0
L,Daniel Movahedi,-1.0,0.0,-10.0,-5.0,-69.0,0.0,-3.0,-14.0,0.0,-51.0,-5.0,16.0,-2.0,-58.0,-40.0,-20.0,6.0,-15.0,-5.0
W,Herb Dean,1.0,0.0,-5.0,22.0,20.0,-7.0,-11.0,2.0,0.0,13.0,9.0,-17.0,-1.0,21.0,33.0,100.0,-2.0,-1.0,8.0
W,Marc Goddard,0.0,0.0,24.0,-24.0,26.0,-20.0,3.0,-6.0,0.0,-3.0,9.0,0.0,6.0,12.0,-8.0,-43.0,6.0,17.0,13.0
W,Daniel Movahedi,1.0,1.0,20.0,-17.0,28.0,-3.0,5.0,17.0,0.0,14.0,4.0,-3.0,4.0,22.0,3.0,46.0,-5.0,14.0,8.0
L,Rich Mitchell,-5.0,-1.0,-1.0,10.0,-8.0,30.0,-8.0,6.0,0.0,9.0,-11.0,-9.0,-7.0,-9.0,1.0,-71.0,-11.0,-2.0,-19.0
L,Daniel Movahedi,-3.0,0.0,-5.0,21.0,-44.0,12.0,-19.0,-5.0,0.0,-17.0,-6.0,-17.0,-8.0,-31.0,-2.0,-75.0,-6.0,-10.0,-6.0
L,Rich Mitchell,-1.0,0.0,47.0,-33.0,-14.0,57.0,-4.0,-21.0,0.0,4.0,-15.0,-12.0,-1.0,-12.0,-11.0,-50.0,1.0,3.0,-57.0
W,Marc Goddard,3.0,-1.0,-4.0,14.0,214.0,-37.0,1.0,29.0,0.0,3.0,23.0,-12.0,-2.0,24.0,22.0,50.0,-16.0,1.0,52.0
W,Leon Roberts,1.0,0.0,-16.0,32.0,175.0,-46.0,7.0,10.0,1.0,18.0,86.0,-15.0,7.0,111.0,112.0,50.0,2.0,-8.0,44.0
L,Daniel Movahedi,1.0,0.0,13.0,-33.0,-3.0,-3.0,13.0,0.0,0.0,-13.0,0.0,21.0,2.0,-11.0,-32.0,33.0,3.0,8.0,0.0
L,Herb Dean,0.0,0.0,4.0,-7.0,6.0,-19.0,3.0,-12.0,0.0,-3.0,8.0,3.0,1.0,6.0,0.0,0.0,1.0,3.0,17.0
W,Marc Goddard,0.0,0.0,-6.0,36.0,35.0,-11.0,-14.0,13.0,0.0,5.0,7.0,-31.0,4.0,16.0,32.0,41.0,3.0,-2.0,7.0
W,Daniel Movahedi,2.0,0.0,-18.0,20.0,99.0,-23.0,6.0,19.0,0.0,44.0,32.0,-2.0,-1.0,75.0,60.0,50.0,-4.0,9.0,26.0
L,Rich Mitchell,-2.0,-1.0,-7.0,9.0,-18.0,3.0,-4.0,-3.0,0.0,-9.0,-1.0,-1.0,-2.0,-12.0,-2.0,-50.0,-2.0,-6.0,-1.0
W,Herb Dean,-3.0,4.0,-12.0,22.0,26.0,-12.0,-16.0,5.0,0.0,-20.0,10.0,-10.0,8.0,-2.0,33.0,-30.0,6.0,-19.0,7.0
W,Keith Peterson,1.0,0.0,3.0,-6.0,44.0,-25.0,6.0,7.0,1.0,0.0,18.0,4.0,3.0,21.0,10.0,100.0,2.0,5.0,24.0
L,Herb Dean,2.0,0.0,-10.0,21.0,-37.0,21.0,-9.0,-12.0,0.0,-19.0,0.0,-11.0,-12.0,-31.0,-16.0,25.0,-20.0,-6.0,0.0
W,Herb Dean,13.0,0.0,31.0,-21.0,-11.0,-57.0,1.0,29.0,0.0,-1.0,33.0,-9.0,6.0,38.0,12.0,6.0,8.0,25.0,47.0
W,Mark Smith,-1.0,0.0,-7.0,7.0,37.0,0.0,26.0,30.0,0.0,29.0,4.0,-1.0,28.0,61.0,34.0,0.0,-4.0,1.0,3.0
L,Jason Herzog,1.0,-2.0,40.0,-1.0,-63.0,36.0,-35.0,-21.0,0.0,-32.0,-14.0,-38.0,-16.0,-62.0,-28.0,-41.0,-18.0,1.0,-16.0
W,Mark Smith,-2.0,0.0,3.0,30.0,74.0,22.0,0.0,-4.0,0.0,37.0,2.0,-33.0,1.0,40.0,33.0,-28.0,-25.0,7.0,2.0
L,Chris Tognoni,-2.0,0.0,-14.0,14.0,-21.0,-2.0,-3.0,-20.0,0.0,-26.0,-4.0,0.0,2.0,-28.0,-12.0,-66.0,7.0,-13.0,-5.0
W,Mark Smith,0.0,0.0,27.0,-17.0,16.0,6.0,-2.0,0.0,0.0,19.0,0.0,-11.0,-3.0,16.0,-1.0,0.0,-5.0,19.0,0.0
W,Herb Dean,2.0,0.0,-16.0,36.0,145.0,-32.0,4.0,37.0,0.0,37.0,18.0,-20.0,34.0,89.0,79.0,66.0,17.0,6.0,14.0
W,Herb Dean,6.0,1.0,-10.0,15.0,62.0,-12.0,6.0,25.0,0.0,55.0,30.0,-6.0,-3.0,82.0,66.0,85.0,-9.0,10.0,21.0
W,Mark Smith,-1.0,0.0,8.0,-24.0,36.0,-16.0,13.0,13.0,0.0,14.0,0.0,16.0,13.0,27.0,4.0,-50.0,17.0,10.0,0.0
W,Keith Peterson,1.0,0.0,3.0,5.0,49.0,-5.0,2.0,34.0,1.0,38.0,11.0,-8.0,1.0,50.0,41.0,100.0,-3.0,7.0,8.0
W,Mark Smith,1.0,0.0,-28.0,31.0,49.0,-6.0,4.0,17.0,0.0,24.0,4.0,-4.0,4.0,32.0,42.0,17.0,2.0,-14.0,4.0
L,Herb Dean,-2.0,0.0,0.0,22.0,-17.0,8.0,-8.0,-5.0,0.0,-9.0,-4.0,-22.0,-5.0,-18.0,-10.0,-50.0,-17.0,0.0,9.0
L,Mark Smith,-1.0,0.0,5.0,50.0,-96.0,7.0,-50.0,-18.0,0.0,-8.0,-1.0,-55.0,-31.0,-40.0,8.0,-10.0,-6.0,2.0,-1.0
L,Herb Dean,-2.0,-1.0,-11.0,1.0,-91.0,6.0,-15.0,-17.0,0.0,-32.0,-19.0,10.0,-4.0,-55.0,-27.0,-25.0,17.0,-13.0,-22.0
W,Mark Smith,-1.0,2.0,0.0,-6.0,46.0,-8.0,4.0,18.0,0.0,0.0,11.0,7.0,1.0,12.0,8.0,16.0,0.0,0.0,9.0
L,Mark Smith,3.0,-2.0,29.0,-21.0,18.0,-11.0,-1.0,5.0,0.0,-1.0,0.0,-8.0,2.0,1.0,-3.0,-60.0,11.0,5.0,-1.0
L,Herb Dean,0.0,0.0,-9.0,-25.0,-28.0,-24.0,9.0,-14.0,0.0,-30.0,0.0,34.0,5.0,-25.0,-28.0,0.0,24.0,-6.0,0.0
W,Dan Miragliotta,-2.0,0.0,-14.0,34.0,4.0,5.0,-17.0,-6.0,0.0,11.0,-3.0,-20.0,1.0,9.0,38.0,-66.0,-1.0,-12.0,-4.0
W,Keith Peterson,1.0,0.0,13.0,-4.0,26.0,-10.0,3.0,9.0,1.0,21.0,4.0,-8.0,2.0,27.0,13.0,100.0,3.0,11.0,6.0
L,Jason Herzog,0.0,0.0,0.0,-8.0,-115.0,53.0,0.0,-21.0,-1.0,22.0,-63.0,7.0,-11.0,-52.0,-49.0,-17.0,-7.0,-3.0,-45.0
