iter	Logloss
0	0.66182979
1	0.6351510208
2	0.6059734266
3	0.584905417
4	0.56555978
5	0.549652641
6	0.5322535027
7	0.5157521698
8	0.5040185103
9	0.4890670251
10	0.4770761148
11	0.4665456922
12	0.4571494348
13	0.4479071652
14	0.4405203626
15	0.4316163467
16	0.4244294791
17	0.417794775
18	0.4117940599
19	0.4072596325
20	0.4017308562
21	0.3965686647
22	0.3917086716
23	0.387251611
24	0.384534769
25	0.380824339
26	0.3778171938
27	0.3744545128
28	0.3717395148
29	0.3691739203
30	0.3673298473
31	0.3650988686
32	0.3625157036
33	0.3598188245
34	0.3572491629
35	0.3546326182
36	0.3529151338
37	0.3507998771
38	0.3487156138
39	0.3469167915
40	0.345776368
41	0.3446283122
42	0.342493898
43	0.3408175122
44	0.3392306319
45	0.3372850626
46	0.3360711446
47	0.3342252539
48	0.333290396
49	0.3318350832
50	0.3308655408
51	0.3295119927
52	0.3289141353
53	0.3280228237
54	0.3269514101
55	0.3260428484
56	0.3247324473
57	0.3235377091
58	0.3222967647
59	0.321367318
60	0.3201967322
61	0.31930285
62	0.3182715383
63	0.3172615765
64	0.3168808616
65	0.31632731
66	0.3154774244
67	0.3143106306
68	0.3133398844
69	0.3130843838
70	0.312780925
71	0.3114649236
72	0.3106442944
73	0.3097595383
74	0.3091605089
75	0.3082796055
76	0.3075426936
77	0.306796586
78	0.3062097693
79	0.3055393852
80	0.3042456708
81	0.3035635373
82	0.3030902044
83	0.302638408
84	0.3018631017
85	0.3010105089
86	0.3005940567
87	0.2999943986
88	0.299558491
89	0.2987127252
90	0.2975018918
91	0.296639181
92	0.2962879507
93	0.2954575934
94	0.2943264081
95	0.2935705436
96	0.2926259891
97	0.2919574818
98	0.2916055408
99	0.2908405139
100	0.290553343
101	0.2899844914
102	0.2894117452
103	0.2884416184
104	0.2878989056
105	0.2873878597
106	0.2863637345
107	0.286004909
108	0.2853706775
109	0.2849885466
110	0.2846603793
111	0.2843144779
112	0.2834446283
113	0.2830687256
114	0.2826659649
115	0.2822084032
116	0.2819643575
117	0.2815043349
118	0.2808372742
119	0.280741777
120	0.279797699
121	0.2795587835
122	0.2789999893
123	0.2785888135
124	0.2783915251
125	0.2779437107
126	0.277686878
127	0.2770533865
128	0.2765403676
129	0.2761950184
130	0.2759374418
131	0.274859798
132	0.2741602096
133	0.273429396
134	0.272427084
135	0.2718838314
136	0.2711989215
137	0.2706162882
138	0.270548144
139	0.2698029383
140	0.2690955452
141	0.2681609088
142	0.2680341508
143	0.2675112025
144	0.2672267968
145	0.2664609777
146	0.2659318485
147	0.2655561973
148	0.2653167284
149	0.2650693642
150	0.2646127067
151	0.2640821408
152	0.2636187268
153	0.2631633975
154	0.2631455891
155	0.2627538759
156	0.2619542168
157	0.2613447813
158	0.2608218518
159	0.2605444237
160	0.2596871184
161	0.2587359616
162	0.2580006096
163	0.257787582
164	0.2572823598
165	0.2570714968
166	0.2562701436
167	0.2559945403
168	0.2553439151
169	0.2547727013
170	0.2541398377
171	0.2534815572
172	0.2529440693
173	0.2523662059
174	0.2518468318
175	0.2508392508
176	0.2504883283
177	0.2502699336
178	0.2496147117
179	0.2493958805
180	0.2487852161
181	0.2480203826
182	0.2472869681
183	0.2463423399
184	0.2461416655
185	0.245237784
186	0.2447375468
187	0.2439342288
188	0.2430338329
189	0.2421680535
190	0.2414636107
191	0.2414029114
192	0.2410005617
193	0.2404261696
194	0.2397983435
195	0.2397295206
196	0.2389919774
197	0.2384325408
198	0.2382831438
199	0.2381146199
200	0.2376408024
201	0.2371122703
202	0.2364098897
203	0.2363052175
204	0.2362451696
205	0.2362072067
206	0.2358624782
207	0.2355817273
208	0.2355329269
209	0.2350641125
210	0.2343875232
211	0.2336295958
212	0.2330670808
213	0.2330028755
214	0.2325687401
215	0.2316226405
216	0.2315769877
217	0.2308334176
218	0.2307993834
219	0.2298884003
220	0.2290386403
221	0.2281784198
222	0.2281285038
223	0.2277995262
224	0.227673856
225	0.2274463466
226	0.2271253844
227	0.2265638246
228	0.226521109
229	0.226033789
230	0.2253651481
231	0.2245377386
232	0.2241086202
233	0.2238025197
234	0.2232363039
235	0.2232049187
