iter	Logloss
236	0.2229060768
237	0.2228713409
238	0.2225528803
239	0.2224152812
240	0.221742467
241	0.2211052376
242	0.2204222948
243	0.2197964154
244	0.219325987
245	0.2190913056
246	0.2185597926
247	0.2185123636
248	0.218124305
249	0.2180504077
250	0.2174711724
251	0.2174462518
252	0.2174120548
253	0.2173783821
254	0.2169200782
255	0.2167955002
256	0.2163615792
257	0.2160247576
258	0.2156927468
259	0.2152043452
260	0.2149544479
261	0.2143333187
262	0.214304847
263	0.2136478646
264	0.213284931
265	0.2127003465
266	0.2126611017
267	0.2124146337
268	0.2119557287
269	0.2110724639
270	0.2103250348
271	0.2099507499
272	0.2090993035
273	0.2089068894
274	0.2085200719
275	0.2082937058
276	0.2076673164
277	0.2076410682
278	0.2069149247
279	0.2065017256
280	0.2062289597
281	0.2058821807
282	0.2053036852
283	0.2046329168
284	0.2045930581
285	0.2043797371
286	0.2041093848
287	0.203359278
288	0.2029915832
289	0.2027337245
290	0.2025132992
291	0.2024356943
292	0.2017049646
293	0.2010510715
294	0.2010322485
295	0.2000395125
296	0.199343938
297	0.1987980846
298	0.1984919903
299	0.1982302721
300	0.197870701
301	0.1971250554
302	0.1963423621
303	0.1955496525
304	0.1949397508
305	0.1943970781
306	0.1940793017
307	0.1932283835
308	0.1928052044
309	0.1923519361
310	0.1923257396
311	0.1921190825
312	0.1914840619
313	0.1909309157
314	0.1906092136
315	0.189953334
316	0.1895059437
317	0.1894837419
318	0.1894046704
319	0.1890534209
320	0.1886579784
321	0.1880197679
322	0.1875547056
323	0.1872193472
324	0.1871517431
325	0.1869109318
326	0.1862202171
327	0.1857338287
328	0.1851724264
329	0.184764724
330	0.1846137909
331	0.1845986486
332	0.1841800906
333	0.1834932584
334	0.1834190283
335	0.1829733856
336	0.182422422
337	0.1819771375
338	0.1816237039
339	0.1813848744
340	0.1809075026
341	0.1803320607
342	0.1796679406
343	0.1791707501
344	0.178790896
345	0.1782383004
346	0.1782169121
347	0.17806608
348	0.1776335115
349	0.1773660754
350	0.177068727
351	0.1764409018
352	0.1764104409
353	0.1759823967
354	0.1757551989
355	0.175338733
356	0.1748148623
357	0.1743814687
358	0.1739854996
359	0.1735430116
360	0.172917054
361	0.1725492567
362	0.1720288457
363	0.1717648657
364	0.1714749412
365	0.1714582989
366	0.1711546891
367	0.1705932162
368	0.1702818941
369	0.169932785
370	0.1694800164
371	0.1691243562
372	0.1689105317
373	0.168616645
374	0.1680873269
375	0.167721632
376	0.1672004308
377	0.1668067406
378	0.1662957574
379	0.1660937259
380	0.1660747956
381	0.1654739538
382	0.1646965676
383	0.1643140791
384	0.1637971149
385	0.1637510881
386	0.1631606418
387	0.1629239832
388	0.1625674852
389	0.1622268261
390	0.1614969798
391	0.1612091663
392	0.1610991199
393	0.1606890496
394	0.160340472
395	0.160073391
396	0.159790973
397	0.159498505
398	0.159123683
399	0.1587346559
400	0.1582593246
401	0.1577807659
402	0.1573229671
403	0.156979535
404	0.1565942729
405	0.156110998
406	0.1558653938
407	0.1558229649
408	0.1553801289
409	0.1549272108
410	0.154498932
411	0.1542702115
412	0.1540431292
413	0.1536485421
414	0.1533268259
415	0.152833398
416	0.1523022576
417	0.1521409499
418	0.1517794952
419	0.1514213264
420	0.1510720848
421	0.1508479863
422	0.1508320667
423	0.1503147319
424	0.1502904917
425	0.1498523146
426	0.1496409878
427	0.1496112295
428	0.1494415764
429	0.1490303705
430	0.1490113842
431	0.1486936528
432	0.1480957378
433	0.1475398131
434	0.147529907
435	0.1472553406
436	0.1470446475
437	0.1468192658
438	0.1465221739
439	0.1465157383
440	0.1461481674
441	0.1458905801
442	0.1453706115
443	0.1451667483
444	0.1451566046
445	0.1446663135
446	0.1444857787
447	0.1442772919
448	0.1441342094
449	0.1438607037
450	0.1437740239
451	0.1433701662
452	0.1429639938
453	0.1425075546
454	0.1420101221
455	0.141649518
456	0.1412984829
457	0.1406950224
458	0.1402536718
459	0.1399229732
460	0.139656989
461	0.1393848033
462	0.139087528
463	0.1388795475
464	0.1388198542
465	0.1386934497
466	0.1383978595
467	0.1383884524
468	0.1381409513
469	0.1378180426
470	0.1375147154
471	0.1374826259
472	0.1374649713
473	0.1371304432
474	0.1368151374
475	0.1365943265
476	0.1360989053
477	0.1360777035
478	0.1360660993
479	0.1358648414
480	0.1355891935
481	0.1355792256
482	0.1351342041
483	0.1351217157
484	0.1351103998
485	0.1348383701
486	0.134825978
487	0.1347210214
488	0.1344296071
489	0.134270944
490	0.1339562627
491	0.1333934617
492	0.1331426332
493	0.1328836497
494	0.1325780953
495	0.1323831175
496	0.1322132602
497	0.1321215651
498	0.1321117531
499	0.1317717435
